Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.350643	0.609656	0.617262	0.352641	0.34766	0.612027	0.615489	0.354582	0.352475	0.613967	0.609286	0.357178	0.352736	0.613063	0.611854	0.35407	0.352092	0.611774	0.615333	0.350898	0.351435	0.616554	0.608545	0.355002	0.353397	0.612627	0.612348	0.353311	0.351063	0.603429	0.620526	0.357177	-0.186705	0.676442	0.19689	0.684691	-0.180359	0.679203	0.189913	0.685629	-0.179962	0.67831	0.193382	0.685647	0.679322	0.174858	0.688618	-0.183716	0.67698	0.181533	0.688035	-0.188018	0.679983	0.182281	0.683724	-0.192142	0.350521	0.605411	0.619575	0.356004
0.01	0.350705	0.6096	0.617237	0.352723	0.347744	0.61195	0.615469	0.354667	0.352503	0.613873	0.609354	0.357196	0.352752	0.613052	0.611845	0.35409	0.352146	0.611701	0.615324	0.350986	0.351461	0.616437	0.608632	0.355032	0.353422	0.612609	0.612337	0.353338	0.351197	0.603413	0.620461	0.357184	-0.186437	0.676507	0.196666	0.684764	-0.180257	0.679285	0.189807	0.685604	-0.179943	0.678432	0.193349	0.685541	0.679372	0.174594	0.688671	-0.183584	0.677064	0.181403	0.688012	-0.187929	0.679977	0.182254	0.683778	-0.191999	0.350467	0.605211	0.619756	0.356082
0.02	0.350751	0.609552	0.617213	0.352801	0.347807	0.611876	0.615462	0.354746	0.35254	0.613778	0.609415	0.357218	0.352766	0.613034	0.611843	0.35411	0.3522	0.611621	0.615337	0.351048	0.351485	0.616334	0.608717	0.355041	0.353457	0.612592	0.612319	0.353361	0.351368	0.603352	0.620406	0.357217	-0.186206	0.676566	0.196444	0.684832	-0.180069	0.679401	0.189647	0.685583	-0.179843	0.678586	0.193266	0.685439	0.679422	0.174413	0.688687	-0.183511	0.677131	0.181362	0.687976	-0.187859	0.679894	0.182343	0.683884	-0.191831	0.350461	0.605016	0.61989	0.356188
0.03	0.350791	0.609503	0.617195	0.352876	0.347847	0.611804	0.615475	0.354809	0.352572	0.613688	0.609479	0.357233	0.352778	0.613012	0.611852	0.354121	0.352243	0.611531	0.615367	0.35111	0.351489	0.616247	0.6088	0.355048	0.353485	0.612579	0.612302	0.353386	0.351518	0.603274	0.620371	0.357261	-0.186012	0.676605	0.196253	0.684902	-0.179809	0.679534	0.189468	0.685569	-0.179632	0.678744	0.193145	0.685372	0.679474	0.174349	0.688663	-0.183471	0.677178	0.181383	0.687944	-0.187786	0.679774	0.182463	0.684045	-0.191566	0.350494	0.604854	0.619966	0.356296
0.04	0.350825	0.609443	0.6172	0.352937	0.347884	0.61174	0.615503	0.354834	0.352597	0.6136	0.60954	0.357257	0.35278	0.613	0.611857	0.35413	0.352307	0.61141	0.615407	0.351187	0.351514	0.616146	0.608873	0.355071	0.353514	0.612562	0.61229	0.353407	0.351613	0.603214	0.62036	0.357289	-0.185844	0.676648	0.196103	0.684948	-0.179499	0.67967	0.189286	0.685565	-0.179405	0.678888	0.192991	0.685331	0.679531	0.174335	0.688619	-0.183435	0.677217	0.181429	0.687917	-0.187697	0.679621	0.182683	0.684216	-0.191288	0.350568	0.604687	0.620026	0.356405
0.05	0.35084	0.609399	0.617206	0.352987	0.347894	0.611691	0.615545	0.354836	0.35261	0.613526	0.609596	0.357274	0.352779	0.612992	0.611862	0.354137	0.352368	0.61128	0.615458	0.351263	0.351539	0.616055	0.60895	0.355074	0.353527	0.612557	0.612288	0.353406	0.351662	0.603188	0.620349	0.357303	-0.185717	0.676687	0.19598	0.684978	-0.179197	0.679773	0.189138	0.685583	-0.179201	0.678987	0.192842	0.685329	0.679594	0.174318	0.688577	-0.183375	0.677254	0.181503	0.68789	-0.187593	0.679474	0.182934	0.684378	-0.19099	0.350683	0.604529	0.620061	0.356498
0.06	0.350857	0.609355	0.617208	0.353044	0.347896	0.61165	0.615587	0.354831	0.352619	0.613461	0.609661	0.357267	0.352779	0.612992	0.611856	0.354148	0.352399	0.611164	0.615524	0.351317	0.351551	0.615989	0.609011	0.355071	0.353513	0.612572	0.612299	0.353374	0.351706	0.603186	0.620321	0.357312	-0.185652	0.676729	0.195897	0.684979	-0.178971	0.679831	0.189056	0.685607	-0.179053	0.679021	0.192731	0.685365	0.679656	0.174267	0.688551	-0.183293	0.67729	0.181581	0.687868	-0.187467	0.679303	0.183193	0.684577	-0.190636	0.350791	0.604392	0.620084	0.356584
0.07	0.350882	0.609303	0.617208	0.353109	0.347893	0.611616	0.615636	0.354809	0.352613	0.613402	0.609735	0.357246	0.352784	0.612989	0.611846	0.354164	0.352408	0.611076	0.61559	0.351346	0.351562	0.615912	0.609076	0.355081	0.353499	0.61258	0.612316	0.353346	0.351777	0.603186	0.620273	0.357325	-0.185629	0.676771	0.195851	0.684957	-0.178814	0.679842	0.189019	0.685648	-0.178958	0.679013	0.192614	0.68543	0.67972	0.174188	0.688541	-0.18317	0.67733	0.181636	0.687854	-0.187319	0.679107	0.183409	0.684824	-0.190238	0.350917	0.604268	0.620078	0.35668
0.08	0.350918	0.609242	0.617214	0.353168	0.347876	0.611581	0.615675	0.354818	0.352601	0.613352	0.609806	0.357225	0.352813	0.612972	0.611835	0.354184	0.352422	0.611006	0.61564	0.351365	0.351578	0.61583	0.609153	0.355076	0.353476	0.612595	0.612328	0.353321	0.351892	0.603173	0.620197	0.357366	-0.185606	0.676797	0.195859	0.684934	-0.17874	0.679793	0.189015	0.685716	-0.178844	0.678977	0.192519	0.685523	0.679778	0.174085	0.688543	-0.18304	0.677379	0.181628	0.687854	-0.18715	0.678898	0.183574	0.685086	-0.189881	0.351043	0.604141	0.620073	0.356781
0.09	0.350944	0.609184	0.61723	0.353216	0.347871	0.611529	0.61571	0.354851	0.352593	0.613296	0.609885	0.357193	0.352845	0.612952	0.611824	0.354207	0.352461	0.610934	0.615678	0.351386	0.351564	0.615758	0.609242	0.355062	0.353442	0.612616	0.61234	0.353299	0.352053	0.603151	0.620096	0.357419	-0.185563	0.676818	0.195888	0.684918	-0.178714	0.679718	0.189005	0.6858	-0.178672	0.678905	0.19248	0.68565	0.679836	0.17395	0.688561	-0.18289	0.677432	0.181548	0.687869	-0.18698	0.678708	0.183668	0.685351	-0.189514	0.351187	0.604025	0.62006	0.356858
