Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.68927,0.00000,-0.23034
0.01000,0.01000,-0.68527,0.01000,-0.22724
0.02000,0.02000,-0.68080,0.02000,-0.22389
0.03001,0.03000,-0.67595,0.03000,-0.22041
0.04001,0.04000,-0.67086,0.04000,-0.21692
0.05001,0.05000,-0.66563,0.05000,-0.21354
0.06001,0.06000,-0.66035,0.06000,-0.21036
0.07001,0.07000,-0.65512,0.07000,-0.20745
0.08001,0.08000,-0.64997,0.08000,-0.20482
0.09001,0.09000,-0.64497,0.09000,-0.20248
0.10002,0.10000,-0.64012,0.10000,-0.20039
0.11002,0.11000,-0.63545,0.11000,-0.19853
0.12002,0.12000,-0.63097,0.12000,-0.19684
0.13002,0.13000,-0.62671,0.13000,-0.19530
0.14002,0.14000,-0.62266,0.14000,-0.19385
0.15002,0.15000,-0.61884,0.15000,-0.19248
0.16002,0.16000,-0.61524,0.16000,-0.19114
0.17003,0.17000,-0.61186,0.17000,-0.18981
0.18003,0.18000,-0.60868,0.18000,-0.18847
0.19003,0.19000,-0.60568,0.19000,-0.18709
0.20003,0.20000,-0.60284,0.20000,-0.18568
0.21003,0.21000,-0.60015,0.21000,-0.18424
0.22003,0.22000,-0.59762,0.22000,-0.18280
0.23004,0.23000,-0.59526,0.23000,-0.18137
0.24004,0.24000,-0.59308,0.24000,-0.18001
0.25004,0.25000,-0.59112,0.25000,-0.17875
0.26004,0.26000,-0.58942,0.26000,-0.17761
0.27004,0.27000,-0.58798,0.27000,-0.17658
0.28004,0.28000,-0.58683,0.28000,-0.17563
0.29004,0.29000,-0.58595,0.29000,-0.17469
0.30005,0.30000,-0.58533,0.30000,-0.17368
0.31005,0.31000,-0.58496,0.31000,-0.17249
0.32005,0.32000,-0.58481,0.32000,-0.17103
0.33005,0.33000,-0.58489,0.33000,-0.16924
0.34005,0.34000,-0.58520,0.34000,-0.16708
0.35005,0.35000,-0.58574,0.35000,-0.16456
0.36005,0.36000,-0.58652,0.36000,-0.16172
0.37006,0.37000,-0.58752,0.37000,-0.15866
0.38006,0.38000,-0.58871,0.38000,-0.15548
0.39006,0.39000,-0.59003,0.39000,-0.15233
0.40006,0.40000,-0.59136,0.40000,-0.14931
