Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.09105,0.00000,0.02994
0.01000,0.01000,-0.08906,0.01000,0.01271
0.02000,0.02000,-0.08610,0.02000,-0.00582
0.03000,0.03000,-0.08208,0.03000,-0.02453
0.04001,0.04000,-0.07696,0.04000,-0.04201
0.05001,0.05000,-0.07078,0.05000,-0.05667
0.06001,0.06000,-0.06369,0.06000,-0.06686
0.07001,0.07000,-0.05589,0.07000,-0.07104
0.08001,0.08000,-0.04768,0.08000,-0.06794
0.09001,0.09000,-0.03942,0.09000,-0.05674
0.10001,0.10000,-0.03148,0.10000,-0.03731
0.11002,0.11000,-0.02424,0.11000,-0.01023
0.12002,0.12000,-0.01808,0.12000,0.02309
0.13002,0.13000,-0.01329,0.13000,0.06058
0.14002,0.14000,-0.01010,0.14000,0.09963
0.15002,0.15000,-0.00866,0.15000,0.13743
0.16002,0.16000,-0.00901,0.16000,0.17124
0.17002,0.17000,-0.01105,0.17000,0.19870
0.18003,0.18000,-0.01459,0.18000,0.21800
0.19003,0.19000,-0.01930,0.19000,0.22809
0.20003,0.20000,-0.02473,0.20000,0.22862
0.21003,0.21000,-0.03035,0.21000,0.22002
0.22003,0.22000,-0.03555,0.22000,0.20330
0.23003,0.23000,-0.03974,0.23000,0.18000
0.24003,0.24000,-0.04235,0.24000,0.15200
0.25004,0.25000,-0.04291,0.25000,0.12140
0.26004,0.26000,-0.04111,0.26000,0.09037
0.27004,0.27000,-0.03679,0.27000,0.06104
0.28004,0.28000,-0.03002,0.28000,0.03528
0.29004,0.29000,-0.02106,0.29000,0.01461
0.30004,0.30000,-0.01035,0.30000,0.00004
0.31004,0.31000,0.00151,0.31000,-0.00807
0.32005,0.32000,0.01383,0.32000,-0.01001
0.33005,0.33000,0.02589,0.33000,-0.00671
0.34005,0.34000,0.03701,0.34000,0.00042
0.35005,0.35000,0.04659,0.35000,0.00964
0.36005,0.36000,0.05420,0.36000,0.01920
0.37005,0.37000,0.05959,0.37000,0.02748
0.38005,0.38000,0.06273,0.38000,0.03321
0.39006,0.39000,0.06384,0.39000,0.03556
0.40006,0.40000,0.06328,0.40000,0.03419
0.41006,0.41000,0.06160,0.41000,0.02919
0.42006,0.42000,0.05943,0.42000,0.02106
0.43006,0.43000,0.05738,0.43000,0.01057
0.44006,0.44000,0.05604,0.44000,-0.00135
0.45006,0.45000,0.05585,0.45000,-0.01367
0.46007,0.46000,0.05708,0.46000,-0.02539
0.47007,0.47000,0.05985,0.47000,-0.03560
0.48007,0.48000,0.06404,0.48000,-0.04356
0.49007,0.49000,0.06942,0.49000,-0.04877
0.50007,0.50000,0.07563,0.50000,-0.05096
0.51007,0.51000,0.08223,0.51000,-0.05012
0.52007,0.52000,0.08880,0.52000,-0.04650
0.53008,0.53000,0.09494,0.53000,-0.04052
0.54008,0.54000,0.10034,0.54000,-0.03273
0.55008,0.55000,0.10480,0.55000,-0.02371
0.56008,0.56000,0.10822,0.56000,-0.01403
0.57008,0.57000,0.11063,0.57000,-0.00416
0.58008,0.58000,0.11217,0.58000,0.00554
0.59008,0.59000,0.11305,0.59000,0.01483
