Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	-1.81377	0.00000	-1.52277	0.00000	1.36593	0.00000	-1.87061	0.00000	-0.47327	0.00000	-1.29194	0.00000	-1.13506	0.00000	-3.56490	0.00000	-7.64928	0.00000	2.49736	0.00000	-3.81267	0.00000	-3.40464	0.00000	-6.16273	0.00000	3.35195	0.00000	-0.72323	0.00000	-3.32631	0.00000	-6.18057	0.00000	-0.54265	0.00000	2.32258	0.00000	-1.15467	0.00000	1.06083	0.00000	0.82914	0.00000	-9.34078	0.00000	-0.38438	0.00000	0.67136	0.00000	-0.98596	0.00000	-0.89762	0.00000	-1.19694	0.00000	-0.22544	0.00000	1.25859	0.00000	-0.43715	0.00000	-0.36434	0.00000	0.26407	0.00000	-0.21718	0.00000	-1.75034	0.00000	1.40920	0.00000	-0.55444	0.00000	-2.29267	0.00000	-2.50473	0.00000	-0.41224	0.00000	-0.90205	0.00000	2.54497	
0.01001	0.01000	-1.82044	0.01000	-1.55090	0.01000	1.41623	0.01000	-1.85319	0.01000	-0.46005	0.01000	-1.27286	0.01000	-1.11438	0.01000	-3.53857	0.01000	-7.63811	0.01000	2.50784	0.01000	-3.79774	0.01000	-3.39388	0.01000	-6.03045	0.01000	3.34548	0.01000	-0.63174	0.01000	-3.31559	0.01000	-6.04639	0.01000	-0.69959	0.01000	4.13097	0.01000	-1.00961	0.01000	0.36218	0.01000	0.83635	0.01000	-8.91679	0.01000	-0.37743	0.01000	0.68097	0.01000	-0.98626	0.01000	-0.89450	0.01000	-1.21659	0.01000	-0.27659	0.01000	1.24043	0.01000	-0.37198	0.01000	-0.38264	0.01000	0.27222	0.01000	-0.21608	0.01000	-1.74797	0.01000	1.40968	0.01000	-0.56271	0.01000	-2.28399	0.01000	-2.51633	0.01000	-0.40454	0.01000	-0.90766	0.01000	2.55530	
0.02001	0.02000	-1.82847	0.02000	-1.58257	0.02000	1.48370	0.02000	-1.83231	0.02000	-0.41791	0.02000	-1.24952	0.02000	-1.09434	0.02000	-3.53843	0.02000	-7.61740	0.02000	2.51654	0.02000	-3.78851	0.02000	-3.37844	0.02000	-5.88305	0.02000	3.34276	0.02000	-0.52877	0.02000	-3.30044	0.02000	-5.89676	0.02000	-0.78059	0.02000	6.18803	0.02000	-0.94804	0.02000	-0.41279	0.02000	0.78424	0.02000	-8.38685	0.02000	-0.36747	0.02000	0.69298	0.02000	-0.98649	0.02000	-0.88996	0.02000	-1.23782	0.02000	-0.34535	0.02000	1.21869	0.02000	-0.31074	0.02000	-0.40565	0.02000	0.28197	0.02000	-0.21504	0.02000	-1.74538	0.02000	1.41017	0.02000	-0.57373	0.02000	-2.27245	0.02000	-2.53109	0.02000	-0.39487	0.02000	-0.91106	0.02000	2.56848	
0.03001	0.03000	-1.83797	0.03000	-1.61655	0.03000	1.56805	0.03000	-1.80868	0.03000	-0.34165	0.03000	-1.22292	0.03000	-1.07684	0.03000	-3.56952	0.03000	-7.58618	0.03000	2.52293	0.03000	-3.78731	0.03000	-3.35800	0.03000	-5.72707	0.03000	3.34432	0.03000	-0.41952	0.03000	-3.28062	0.03000	-5.73828	0.03000	-0.76039	0.03000	8.41483	0.03000	-0.99627	0.03000	-1.23444	0.03000	0.66041	0.03000	-7.76552	0.03000	-0.35416	0.03000	0.70750	0.03000	-0.98652	0.03000	-0.88393	0.03000	-1.25934	0.03000	-0.43133	0.03000	1.19404	0.03000	-0.23895	0.03000	-0.43267	0.03000	0.29325	0.03000	-0.21417	0.03000	-1.74265	0.03000	1.41068	0.03000	-0.58753	0.03000	-2.25805	0.03000	-2.54889	0.03000	-0.38332	0.03000	-0.91138	0.03000	2.58441	
0.04002	0.04000	-1.84907	0.04000	-1.65129	0.04000	1.66741	0.04000	-1.78344	0.04000	-0.22819	0.04000	-1.19469	0.04000	-1.06398	0.04000	-3.63408	0.04000	-7.54428	0.04000	2.52685	0.04000	-3.79614	0.04000	-3.33254	0.04000	-5.57072	0.04000	3.35008	0.04000	-0.31080	0.04000	-3.25619	0.04000	-5.57928	0.04000	-0.61888	0.04000	10.70760	0.04000	-1.17491	0.04000	-2.06699	0.04000	0.45657	0.04000	-7.07883	0.04000	-0.33734	0.04000	0.72455	0.04000	-0.98624	0.04000	-0.87639	0.04000	-1.27958	0.04000	-0.53257	0.04000	1.16754	0.04000	-0.15264	0.04000	-0.46241	0.04000	0.30587	0.04000	-0.21354	0.04000	-1.73989	0.04000	1.41122	0.04000	-0.60392	0.04000	-2.24097	0.04000	-2.56937	0.04000	-0.37011	0.04000	-0.90790	0.04000	2.60276	
0.05002	0.05000	-1.86182	0.05000	-1.68507	0.05000	1.77833	0.05000	-1.75812	0.05000	-0.07759	0.05000	-1.16698	0.05000	-1.05780	0.05000	-3.73084	0.05000	-7.49250	0.05000	2.52859	0.05000	-3.81636	0.05000	-3.30245	0.05000	-5.42328	0.05000	3.35929	0.05000	-0.21047	0.05000	-3.22758	0.05000	-5.42919	0.05000	-0.34429	0.05000	12.94539	0.05000	-1.49529	0.05000	-2.87130	0.05000	0.17019	0.05000	-6.36265	0.05000	-0.31704	0.05000	0.74413	0.05000	-0.98547	0.05000	-0.86732	0.05000	-1.29678	0.05000	-0.64538	0.05000	1.14058	0.05000	-0.04815	0.05000	-0.49304	0.05000	0.31965	0.05000	-0.21321	0.05000	-1.73716	0.05000	1.41182	0.05000	-0.62255	0.05000	-2.22167	0.05000	-2.59190	0.05000	-0.35557	0.05000	-0.90016	0.05000	2.62296	
0.06003	0.06000	-1.87617	0.06000	-1.71614	0.06000	1.89575	0.06000	-1.73451	0.06000	0.10598	0.06000	-1.14237	0.06000	-1.06009	0.06000	-3.85481	0.06000	-7.43274	0.06000	2.52894	0.06000	-3.84841	0.06000	-3.26854	0.06000	-5.29418	0.06000	3.37049	0.06000	-0.12665	0.06000	-3.19564	0.06000	-5.29761	0.06000	0.06437	0.06000	15.00044	0.06000	-1.95673	0.06000	-3.60795	0.06000	-0.19426	0.06000	-5.65906	0.06000	-0.29355	0.06000	0.76619	0.06000	-0.98406	0.06000	-0.85661	0.06000	-1.30919	0.06000	-0.76443	0.06000	1.11485	0.06000	0.07133	0.06000	-0.52231	0.06000	0.33433	0.06000	-0.21323	0.06000	-1.73453	0.06000	1.41253	0.06000	-0.64285	0.06000	-2.20079	0.06000	-2.61561	0.06000	-0.34019	0.06000	-0.88809	0.06000	2.64423	
0.07003	0.07000	-1.89180	0.07000	-1.74295	0.07000	2.01327	0.07000	-1.71455	0.07000	0.31372	0.07000	-1.12347	0.07000	-1.07196	0.07000	-3.99781	0.07000	-7.36785	0.07000	2.52913	0.07000	-3.89161	0.07000	-3.23210	0.07000	-5.19198	0.07000	3.38171	0.07000	-0.06666	0.07000	-3.16166	0.07000	-5.19321	0.07000	0.59602	0.07000	16.74944	0.07000	-2.54508	0.07000	-4.24006	0.07000	-0.62491	0.07000	-5.01140	0.07000	-0.26745	0.07000	0.79065	0.07000	-0.98185	0.07000	-0.84396	0.07000	-1.31526	0.07000	-0.88302	0.07000	1.09213	0.07000	0.15769	0.07000	-0.54779	0.07000	0.34968	0.07000	-0.21364	0.07000	-1.73202	0.07000	1.41340	0.07000	-0.66418	0.07000	-2.17922	0.07000	-2.63947	0.07000	-0.32447	0.07000	-0.87212	0.07000	2.66561	
0.08004	0.08000	-1.90813	0.08000	-1.76433	0.08000	2.12360	0.08000	-1.70010	0.08000	0.53223	0.08000	-1.11266	0.08000	-1.09362	0.08000	-4.14958	0.08000	-7.30152	0.08000	2.53060	0.08000	-3.94406	0.08000	-3.19490	0.08000	-5.12329	0.08000	3.39071	0.08000	-0.03609	0.08000	-3.12735	0.08000	-5.12277	0.08000	1.22767	0.08000	18.08406	0.08000	-3.23294	0.08000	-4.73568	0.08000	-1.10273	0.08000	-4.45942	0.08000	-0.23956	0.08000	0.81732	0.08000	-0.97871	0.08000	-0.82884	0.08000	-1.31387	0.08000	-0.99350	0.08000	1.07414	0.08000	-0.15820	0.08000	-0.56719	0.08000	0.36546	0.08000	-0.21442	0.08000	-1.72960	0.08000	1.41450	0.08000	-0.68587	0.08000	-2.15797	0.08000	-2.66232	0.08000	-0.30901	0.08000	-0.85315	0.08000	2.68604	
0.09004	0.09000	-1.92430	0.09000	-1.77960	0.09000	2.21907	0.09000	-1.69273	0.09000	0.74440	0.09000	-1.11169	0.09000	-1.12413	0.09000	-4.29930	0.09000	-7.23786	0.09000	2.53483	0.09000	-4.00274	0.09000	-3.15909	0.09000	-5.09196	0.09000	3.39536	0.09000	-0.03805	0.09000	-3.09476	0.09000	-5.09020	0.09000	1.92580	0.09000	18.91962	0.09000	-3.98145	0.09000	-5.06969	0.09000	-1.60253	0.09000	-4.03557	0.09000	-0.21092	0.09000	0.84592	0.09000	-0.97454	0.09000	-0.81058	0.09000	-1.30449	0.09000	-1.08790	0.09000	1.06234	0.09000	-1.50506	0.09000	-0.57868	0.09000	0.38147	0.09000	-0.21554	0.09000	-1.72721	0.09000	1.41586	0.09000	-0.70730	0.09000	-2.13809	0.09000	-2.68306	0.09000	-0.29433	0.09000	-0.83255	0.09000	2.70450	
