Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.21667,0.00000,-0.06320,0.00000,0.48986,0.00000,-0.50067,0.00000,0.21088,0.00000,-0.07482
0.01000,0.01000,0.18443,0.01000,-0.02994,0.01000,0.50487,0.01000,-0.38514,0.01000,0.17880,0.01000,-0.03806
0.02000,0.02000,0.15182,0.02000,0.00174,0.02000,0.52516,0.02000,-0.26480,0.02000,0.14630,0.02000,-0.00274
0.03000,0.03000,0.12096,0.03000,0.02805,0.03000,0.55076,0.03000,-0.14721,0.03000,0.11547,0.03000,0.02711
0.04001,0.04000,0.09411,0.04000,0.04476,0.04000,0.58125,0.04000,-0.04075,0.04000,0.08853,0.04000,0.04697
0.05001,0.05000,0.07340,0.05000,0.04772,0.05000,0.61575,0.05000,0.04623,0.05000,0.06764,0.05000,0.05240
0.06001,0.06000,0.06068,0.06000,0.03356,0.06000,0.65294,0.06000,0.10662,0.06000,0.05460,0.06000,0.03978
0.07001,0.07000,0.05723,0.07000,0.00042,0.07000,0.69111,0.07000,0.13550,0.07000,0.05071,0.07000,0.00709
0.08001,0.08000,0.06364,0.08000,-0.05144,0.08000,0.72828,0.08000,0.13101,0.08000,0.05658,0.08000,-0.04549
0.09001,0.09000,0.07969,0.09000,-0.11938,0.09000,0.76234,0.09000,0.09467,0.09000,0.07199,0.09000,-0.11527
0.10001,0.10000,0.10427,0.10000,-0.19862,0.10000,0.79117,0.10000,0.03123,0.10000,0.09589,0.10000,-0.19730
0.11002,0.11000,0.13546,0.11000,-0.28288,0.11000,0.81289,0.11000,-0.05187,0.11000,0.12640,0.11000,-0.28503
0.12002,0.12000,0.17062,0.12000,-0.36545,0.12000,0.82594,0.12000,-0.14543,0.12000,0.16093,0.12000,-0.37141
0.13002,0.13000,0.20659,0.13000,-0.44032,0.13000,0.82930,0.13000,-0.23961,0.13000,0.19637,0.13000,-0.45009
0.14002,0.14000,0.23998,0.14000,-0.50324,0.14000,0.82260,0.14000,-0.32497,0.14000,0.22937,0.14000,-0.51643
0.15002,0.15000,0.26743,0.15000,-0.55227,0.15000,0.80624,0.15000,-0.39342,0.15000,0.25661,0.15000,-0.56817
0.16002,0.16000,0.28596,0.16000,-0.58793,0.16000,0.78145,0.16000,-0.43883,0.16000,0.27514,0.16000,-0.60560
0.17003,0.17000,0.29322,0.17000,-0.61284,0.17000,0.75024,0.17000,-0.45743,0.17000,0.28259,0.17000,-0.63113
0.18003,0.18000,0.28768,0.18000,-0.63094,0.18000,0.71529,0.18000,-0.44780,0.18000,0.27744,0.18000,-0.64865
0.19003,0.19000,0.26879,0.19000,-0.64663,0.19000,0.67967,0.19000,-0.41082,0.19000,0.25912,0.19000,-0.66256
0.20003,0.20000,0.23697,0.20000,-0.66390,0.20000,0.64653,0.20000,-0.34934,0.20000,0.22798,0.20000,-0.67697
0.21003,0.21000,0.19353,0.21000,-0.68577,0.21000,0.61868,0.21000,-0.26789,0.21000,0.18532,0.21000,-0.69509
0.22003,0.22000,0.14053,0.22000,-0.71403,0.22000,0.59831,0.22000,-0.17235,0.22000,0.13315,0.22000,-0.71896
0.23003,0.23000,0.08059,0.23000,-0.74927,0.23000,0.58663,0.23000,-0.06951,0.23000,0.07405,0.23000,-0.74949
0.24004,0.24000,0.01664,0.24000,-0.79116,0.24000,0.58386,0.24000,0.03336,0.24000,0.01090,0.24000,-0.78668
0.25004,0.25000,-0.04829,0.25000,-0.83863,0.25000,0.58923,0.25000,0.12909,0.25000,-0.05328,0.25000,-0.82979
0.26004,0.26000,-0.11122,0.26000,-0.89002,0.26000,0.60121,0.26000,0.21129,0.26000,-0.11554,0.26000,-0.87749
0.27004,0.27000,-0.16945,0.27000,-0.94313,0.27000,0.61782,0.27000,0.27502,0.27000,-0.17318,0.27000,-0.92777
0.28004,0.28000,-0.22062,0.28000,-0.99510,0.28000,0.63694,0.28000,0.31741,0.28000,-0.22386,0.28000,-0.97795
0.29004,0.29000,-0.26295,0.29000,-1.04242,0.29000,0.65665,0.29000,0.33806,0.29000,-0.26579,0.29000,-1.02453
0.30004,0.30000,-0.29531,0.30000,-1.08108,0.30000,0.67545,0.30000,0.33913,0.30000,-0.29785,0.30000,-1.06340
0.31005,0.31000,-0.31740,0.31000,-1.10695,0.31000,0.69237,0.31000,0.32504,0.31000,-0.31974,0.31000,-1.09019
0.32005,0.32000,-0.32982,0.32000,-1.11639,0.32000,0.70699,0.32000,0.30176,0.32000,-0.33206,0.32000,-1.10098
0.33005,0.33000,-0.33403,0.33000,-1.10704,0.33000,0.71938,0.33000,0.27586,0.33000,-0.33629,0.33000,-1.09308
0.34005,0.34000,-0.33230,0.34000,-1.07851,0.34000,0.72994,0.34000,0.25343,0.34000,-0.33467,0.34000,-1.06580
0.35005,0.35000,-0.32742,0.35000,-1.03271,0.35000,0.73922,0.35000,0.23901,0.35000,-0.32999,0.35000,-1.02082
0.36005,0.36000,-0.32242,0.36000,-0.97387,0.36000,0.74779,0.36000,0.23498,0.36000,-0.32528,0.36000,-0.96227
0.37005,0.37000,-0.32024,0.37000,-0.90797,0.37000,0.75608,0.37000,0.24125,0.37000,-0.32348,0.37000,-0.89616
0.38006,0.38000,-0.32342,0.38000,-0.84198,0.38000,0.76431,0.38000,0.25549,0.38000,-0.32710,0.38000,-0.82957
0.39006,0.39000,-0.33379,0.39000,-0.78287,0.39000,0.77244,0.39000,0.27367,0.39000,-0.33795,0.39000,-0.76968
0.40006,0.40000,-0.35236,0.40000,-0.73662,0.40000,0.78023,0.40000,0.29090,0.40000,-0.35703,0.40000,-0.72272
0.41006,0.41000,-0.37926,0.41000,-0.70755,0.41000,0.78724,0.41000,0.30229,0.41000,-0.38442,0.41000,-0.69324
0.42006,0.42000,-0.41377,0.42000,-0.69783,0.42000,0.79301,0.42000,0.30378,0.42000,-0.41938,0.42000,-0.68360
0.43006,0.43000,-0.45452,0.43000,-0.70740,0.43000,0.79711,0.43000,0.29276,0.43000,-0.46050,0.43000,-0.69383
0.44006,0.44000,-0.49972,0.44000,-0.73404,0.44000,0.79925,0.44000,0.26845,0.44000,-0.50596,0.44000,-0.72175
0.45007,0.45000,-0.54739,0.45000,-0.77381,0.45000,0.79938,0.45000,0.23203,0.45000,-0.55375,0.45000,-0.76332
0.46007,0.46000,-0.59563,0.46000,-0.82147,0.46000,0.79771,0.46000,0.18651,0.46000,-0.60197,0.46000,-0.81317
0.47007,0.47000,-0.64286,0.47000,-0.87114,0.47000,0.79481,0.47000,0.13632,0.47000,-0.64902,0.47000,-0.86520
0.48007,0.48000,-0.68792,0.48000,-0.91692,0.48000,0.79156,0.48000,0.08673,0.48000,-0.69375,0.48000,-0.91326
0.49007,0.49000,-0.73015,0.49000,-0.95355,0.49000,0.78916,0.49000,0.04320,0.49000,-0.73551,0.49000,-0.95184
0.50007,0.50000,-0.76934,0.50000,-0.97704,0.50000,0.78902,0.50000,0.01058,0.50000,-0.77413,0.50000,-0.97673
0.51007,0.51000,-0.80564,0.51000,-0.98509,0.51000,0.79267,0.51000,-0.00758,0.51000,-0.80977,0.51000,-0.98549
0.52008,0.52000,-0.83934,0.52000,-0.97730,0.52000,0.80147,0.52000,-0.00954,0.52000,-0.84276,0.52000,-0.97764
0.53008,0.53000,-0.87075,0.53000,-0.95515,0.53000,0.81650,0.53000,0.00441,0.53000,-0.87346,0.53000,-0.95468
0.54008,0.54000,-0.90004,0.54000,-0.92162,0.54000,0.83826,0.54000,0.03196,0.54000,-0.90205,0.54000,-0.91972
0.55008,0.55000,-0.92715,0.55000,-0.88070,0.55000,0.86655,0.55000,0.06920,0.55000,-0.92852,0.55000,-0.87694
0.56008,0.56000,-0.95177,0.56000,-0.83677,0.56000,0.90044,0.56000,0.11117,0.56000,-0.95258,0.56000,-0.83096
0.57008,0.57000,-0.97341,0.57000,-0.79404,0.57000,0.93823,0.57000,0.15259,0.57000,-0.97374,0.57000,-0.78624
0.58008,0.58000,-0.99146,0.58000,-0.75599,0.58000,0.97771,0.58000,0.18848,0.58000,-0.99140,0.58000,-0.74651
0.59009,0.59000,-1.00535,0.59000,-0.72513,0.59000,1.01631,0.59000,0.21477,0.59000,-1.00500,0.59000,-0.71444
0.60009,0.60000,-1.01467,0.60000,-0.70276,0.60000,1.05145,0.60000,0.22869,0.60000,-1.01410,0.60000,-0.69148
0.61009,0.61000,-1.01927,0.61000,-0.68904,0.61000,1.08084,0.61000,0.22900,0.61000,-1.01854,0.61000,-0.67782
0.62009,0.62000,-1.01936,0.62000,-0.68305,0.62000,1.10274,0.62000,0.21598,0.62000,-1.01854,0.62000,-0.67252
0.63009,0.63000,-1.01554,0.63000,-0.68306,0.63000,1.11619,0.63000,0.19134,0.63000,-1.01463,0.63000,-0.67376
0.64009,0.64000,-1.00871,0.64000,-0.68681,0.64000,1.12106,0.64000,0.15788,0.64000,-1.00773,0.64000,-0.67913
0.65009,0.65000,-1.00002,0.65000,-0.69181,0.65000,1.11813,0.65000,0.11916,0.65000,-0.99895,0.65000,-0.68599
0.66010,0.66000,-0.99072,0.66000,-0.69574,0.66000,1.10889,0.66000,0.07895,0.66000,-0.98954,0.66000,-0.69183
0.67010,0.67000,-0.98205,0.67000,-0.69668,0.67000,1.09539,0.67000,0.04082,0.67000,-0.98071,0.67000,-0.69458
0.68010,0.68000,-0.97507,0.68000,-0.69334,0.68000,1.07993,0.68000,0.00767,0.68000,-0.97353,0.68000,-0.69281
0.69010,0.69000,-0.97059,0.69000,-0.68516,0.69000,1.06486,0.69000,-0.01855,0.69000,-0.96882,0.69000,-0.68588
0.70010,0.70000,-0.96912,0.70000,-0.67225,0.70000,1.05230,0.70000,-0.03697,0.70000,-0.96710,0.70000,-0.67384
