Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.05924,0.00000,0.16837,0.00000,-0.81332,0.00000,-4.39406,0.00000,1.19841,0.00000,-0.85827
0.01000,0.01000,0.06022,0.01000,0.16834,0.01000,-0.81389,0.01000,-4.39341,0.01000,1.19622,0.01000,-0.85418
0.02000,0.02000,0.06115,0.02000,0.16832,0.02000,-0.81451,0.02000,-4.39261,0.02000,1.19350,0.02000,-0.85000
0.03000,0.03000,0.06194,0.03000,0.16831,0.03000,-0.81517,0.03000,-4.39167,0.03000,1.19020,0.03000,-0.84593
0.04001,0.04000,0.06251,0.04000,0.16830,0.04000,-0.81585,0.04000,-4.39056,0.04000,1.18632,0.04000,-0.84217
0.05001,0.05000,0.06282,0.05000,0.16826,0.05000,-0.81654,0.05000,-4.38928,0.05000,1.18184,0.05000,-0.83887
0.06001,0.06000,0.06281,0.06000,0.16818,0.06000,-0.81723,0.06000,-4.38782,0.06000,1.17675,0.06000,-0.83608
0.07001,0.07000,0.06248,0.07000,0.16805,0.07000,-0.81790,0.07000,-4.38616,0.07000,1.17105,0.07000,-0.83379
0.08001,0.08000,0.06185,0.08000,0.16788,0.08000,-0.81856,0.08000,-4.38431,0.08000,1.16476,0.08000,-0.83191
0.09001,0.09000,0.06097,0.09000,0.16767,0.09000,-0.81920,0.09000,-4.38227,0.09000,1.15790,0.09000,-0.83027
0.10001,0.10000,0.05992,0.10000,0.16742,0.10000,-0.81982,0.10000,-4.38005,0.10000,1.15051,0.10000,-0.82871
0.11002,0.11000,0.05875,0.11000,0.16716,0.11000,-0.82039,0.11000,-4.37770,0.11000,1.14266,0.11000,-0.82708
0.12002,0.12000,0.05752,0.12000,0.16687,0.12000,-0.82089,0.12000,-4.37526,0.12000,1.13441,0.12000,-0.82534
0.13002,0.13000,0.05626,0.13000,0.16656,0.13000,-0.82127,0.13000,-4.37278,0.13000,1.12586,0.13000,-0.82351
0.14002,0.14000,0.05498,0.14000,0.16621,0.14000,-0.82150,0.14000,-4.37033,0.14000,1.11713,0.14000,-0.82169
0.15002,0.15000,0.05367,0.15000,0.16580,0.15000,-0.82153,0.15000,-4.36797,0.15000,1.10833,0.15000,-0.82005
0.16002,0.16000,0.05228,0.16000,0.16530,0.16000,-0.82132,0.16000,-4.36576,0.16000,1.09960,0.16000,-0.81872
0.17002,0.17000,0.05078,0.17000,0.16471,0.17000,-0.82087,0.17000,-4.36373,0.17000,1.09105,0.17000,-0.81782
0.18003,0.18000,0.04915,0.18000,0.16400,0.18000,-0.82018,0.18000,-4.36190,0.18000,1.08281,0.18000,-0.81733
0.19003,0.19000,0.04738,0.19000,0.16319,0.19000,-0.81929,0.19000,-4.36024,0.19000,1.07496,0.19000,-0.81714
0.20003,0.20000,0.04549,0.20000,0.16228,0.20000,-0.81828,0.20000,-4.35874,0.20000,1.06758,0.20000,-0.81705
0.21003,0.21000,0.04352,0.21000,0.16131,0.21000,-0.81723,0.21000,-4.35733,0.21000,1.06071,0.21000,-0.81681
0.22003,0.22000,0.04154,0.22000,0.16032,0.22000,-0.81621,0.22000,-4.35595,0.22000,1.05436,0.22000,-0.81612
0.23003,0.23000,0.03962,0.23000,0.15935,0.23000,-0.81533,0.23000,-4.35455,0.23000,1.04856,0.23000,-0.81478
0.24003,0.24000,0.03782,0.24000,0.15847,0.24000,-0.81464,0.24000,-4.35311,0.24000,1.04329,0.24000,-0.81262
0.25004,0.25000,0.03622,0.25000,0.15770,0.25000,-0.81421,0.25000,-4.35159,0.25000,1.03858,0.25000,-0.80960
0.26004,0.26000,0.03486,0.26000,0.15709,0.26000,-0.81408,0.26000,-4.35001,0.26000,1.03443,0.26000,-0.80578
0.27004,0.27000,0.03376,0.27000,0.15663,0.27000,-0.81427,0.27000,-4.34838,0.27000,1.03088,0.27000,-0.80133
0.28004,0.28000,0.03294,0.28000,0.15632,0.28000,-0.81481,0.28000,-4.34674,0.28000,1.02794,0.28000,-0.79649
0.29004,0.29000,0.03239,0.29000,0.15615,0.29000,-0.81570,0.29000,-4.34511,0.29000,1.02558,0.29000,-0.79153
0.30004,0.30000,0.03208,0.30000,0.15607,0.30000,-0.81693,0.30000,-4.34352,0.30000,1.02373,0.30000,-0.78674
0.31004,0.31000,0.03198,0.31000,0.15607,0.31000,-0.81849,0.31000,-4.34199,0.31000,1.02226,0.31000,-0.78235
0.32005,0.32000,0.03204,0.32000,0.15610,0.32000,-0.82035,0.32000,-4.34053,0.32000,1.02096,0.32000,-0.77855
0.33005,0.33000,0.03224,0.33000,0.15614,0.33000,-0.82247,0.33000,-4.33914,0.33000,1.01956,0.33000,-0.77544
0.34005,0.34000,0.03255,0.34000,0.15617,0.34000,-0.82481,0.34000,-4.33779,0.34000,1.01772,0.34000,-0.77301
0.35005,0.35000,0.03295,0.35000,0.15615,0.35000,-0.82733,0.35000,-4.33649,0.35000,1.01510,0.35000,-0.77123
0.36005,0.36000,0.03343,0.36000,0.15609,0.36000,-0.82996,0.36000,-4.33523,0.36000,1.01137,0.36000,-0.76999
0.37005,0.37000,0.03400,0.37000,0.15599,0.37000,-0.83264,0.37000,-4.33399,0.37000,1.00629,0.37000,-0.76917
0.38005,0.38000,0.03463,0.38000,0.15588,0.38000,-0.83529,0.38000,-4.33281,0.38000,0.99970,0.38000,-0.76863
0.39005,0.39000,0.03531,0.39000,0.15576,0.39000,-0.83786,0.39000,-4.33168,0.39000,0.99158,0.39000,-0.76826
0.40006,0.40000,0.03600,0.40000,0.15570,0.40000,-0.84029,0.40000,-4.33062,0.40000,0.98203,0.40000,-0.76795
