Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.11363,0.00000,0.14288
0.01000,0.01000,-0.11249,0.01000,0.14288
0.02000,0.02000,-0.11131,0.02000,0.14287
0.03000,0.03000,-0.11017,0.03000,0.14284
0.04001,0.04000,-0.10915,0.04000,0.14279
0.05001,0.05000,-0.10832,0.05000,0.14274
0.06001,0.06000,-0.10775,0.06000,0.14268
0.07001,0.07000,-0.10748,0.07000,0.14262
0.08001,0.08000,-0.10752,0.08000,0.14259
0.09001,0.09000,-0.10787,0.09000,0.14260
0.10001,0.10000,-0.10846,0.10000,0.14265
0.11002,0.11000,-0.10923,0.11000,0.14275
0.12002,0.12000,-0.11008,0.12000,0.14287
0.13002,0.13000,-0.11092,0.13000,0.14298
0.14002,0.14000,-0.11166,0.14000,0.14303
0.15002,0.15000,-0.11222,0.15000,0.14295
0.16002,0.16000,-0.11256,0.16000,0.14269
0.17002,0.17000,-0.11265,0.17000,0.14223
0.18002,0.18000,-0.11249,0.18000,0.14155
0.19003,0.19000,-0.11209,0.19000,0.14065
0.20003,0.20000,-0.11147,0.20000,0.13959
0.21003,0.21000,-0.11067,0.21000,0.13842
0.22003,0.22000,-0.10975,0.22000,0.13722
0.23003,0.23000,-0.10875,0.23000,0.13606
0.24003,0.24000,-0.10775,0.24000,0.13502
0.25003,0.25000,-0.10683,0.25000,0.13415
0.26004,0.26000,-0.10604,0.26000,0.13349
0.27004,0.27000,-0.10547,0.27000,0.13305
0.28004,0.28000,-0.10514,0.28000,0.13283
0.29004,0.29000,-0.10508,0.29000,0.13279
0.30004,0.30000,-0.10527,0.30000,0.13290
0.31004,0.31000,-0.10569,0.31000,0.13309
0.32004,0.32000,-0.10627,0.32000,0.13331
0.33005,0.33000,-0.10695,0.33000,0.13351
0.34005,0.34000,-0.10766,0.34000,0.13362
0.35005,0.35000,-0.10834,0.35000,0.13360
0.36005,0.36000,-0.10894,0.36000,0.13342
0.37005,0.37000,-0.10944,0.37000,0.13308
0.38005,0.38000,-0.10983,0.38000,0.13256
0.39005,0.39000,-0.11011,0.39000,0.13187
0.40005,0.40000,-0.11028,0.40000,0.13106
0.41006,0.41000,-0.11036,0.41000,0.13015
0.42006,0.42000,-0.11035,0.42000,0.12919
0.43006,0.43000,-0.11025,0.43000,0.12822
0.44006,0.44000,-0.11006,0.44000,0.12728
0.45006,0.45000,-0.10975,0.45000,0.12641
0.46006,0.46000,-0.10932,0.46000,0.12562
0.47006,0.47000,-0.10874,0.47000,0.12491
0.48007,0.48000,-0.10802,0.48000,0.12427
0.49007,0.49000,-0.10715,0.49000,0.12367
0.50007,0.50000,-0.10617,0.50000,0.12306
0.51007,0.51000,-0.10510,0.51000,0.12242
0.52007,0.52000,-0.10401,0.52000,0.12173
0.53007,0.53000,-0.10296,0.53000,0.12098
0.54007,0.54000,-0.10200,0.54000,0.12018
0.55008,0.55000,-0.10120,0.55000,0.11935
0.56008,0.56000,-0.10060,0.56000,0.11852
0.57008,0.57000,-0.10024,0.57000,0.11774
0.58008,0.58000,-0.10013,0.58000,0.11701
0.59008,0.59000,-0.10028,0.59000,0.11637
0.60008,0.60000,-0.10064,0.60000,0.11581
0.61008,0.61000,-0.10121,0.61000,0.11533
0.62008,0.62000,-0.10193,0.62000,0.11493
0.63009,0.63000,-0.10277,0.63000,0.11459
0.64009,0.64000,-0.10371,0.64000,0.11430
0.65009,0.65000,-0.10475,0.65000,0.11406
0.66009,0.66000,-0.10588,0.66000,0.11385
0.67009,0.67000,-0.10712,0.67000,0.11367
0.68009,0.68000,-0.10850,0.68000,0.11351
0.69009,0.69000,-0.11003,0.69000,0.11337
0.70010,0.70000,-0.11174,0.70000,0.11323
0.71010,0.71000,-0.11362,0.71000,0.11309
0.72010,0.72000,-0.11567,0.72000,0.11292
0.73010,0.73000,-0.11789,0.73000,0.11274
0.74010,0.74000,-0.12027,0.74000,0.11251
0.75010,0.75000,-0.12280,0.75000,0.11223
0.76010,0.76000,-0.12546,0.76000,0.11189
0.77010,0.77000,-0.12825,0.77000,0.11148
0.78011,0.78000,-0.13113,0.78000,0.11100
0.79011,0.79000,-0.13408,0.79000,0.11045
0.80011,0.80000,-0.13705,0.80000,0.10983
0.81011,0.81000,-0.13999,0.81000,0.10915
0.82011,0.82000,-0.14283,0.82000,0.10843
0.83011,0.83000,-0.14552,0.83000,0.10768
0.84011,0.84000,-0.14800,0.84000,0.10692
0.85012,0.85000,-0.15022,0.85000,0.10618
0.86012,0.86000,-0.15214,0.86000,0.10547
0.87012,0.87000,-0.15375,0.87000,0.10481
0.88012,0.88000,-0.15504,0.88000,0.10420
0.89012,0.89000,-0.15603,0.89000,0.10365
0.90012,0.90000,-0.15675,0.90000,0.10314
0.91012,0.91000,-0.15724,0.91000,0.10263
