Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.507708	0.491456	0.492867	0.507725	0.506936	0.493	0.49324	0.506637	0.50744	0.4928	0.492256	0.507283	0.505594	0.494083	0.49506	0.505147	0.505357	0.494241	0.494866	0.505419	0.503856	0.496671	0.495911	0.503507	0.504115	0.497026	0.496073	0.502737	0.504458	0.491144	0.497138	0.507103	0.0104752	0.706606	-0.00795752	0.707485	0.00514742	0.705774	-0.0037435	0.708409	0.00356819	0.706743	-0.00451493	0.707447	0.705369	-0.0100898	0.708737	0.00665126	0.706083	-0.0109835	0.708011	0.00682837	0.705925	-0.0105869	0.708163	0.00791645	0.511161	0.495038	0.486542	0.506881
0.01	0.507748	0.491479	0.492832	0.507698	0.506915	0.493063	0.49324	0.506596	0.50742	0.492866	0.492276	0.50722	0.50564	0.494031	0.495065	0.505145	0.505316	0.494305	0.494892	0.505371	0.503895	0.496634	0.495868	0.503546	0.50413	0.497013	0.496083	0.502725	0.50447	0.491155	0.497139	0.50708	0.0104487	0.706629	-0.00792586	0.707463	0.0051468	0.705794	-0.00371367	0.708388	0.00356804	0.706765	-0.00448443	0.707425	0.705388	-0.0100908	0.708718	0.00668395	0.706089	-0.010866	0.708007	0.00673631	0.705945	-0.0105708	0.708144	0.00789663	0.511187	0.495036	0.486516	0.506883
0.02	0.507792	0.491495	0.492797	0.507672	0.506902	0.493113	0.493244	0.506557	0.507384	0.492952	0.492294	0.507155	0.505689	0.493986	0.495057	0.50515	0.505263	0.494389	0.494916	0.505319	0.50395	0.496599	0.495816	0.503577	0.504132	0.497021	0.496089	0.502709	0.504487	0.491173	0.497134	0.50705	0.0103761	0.706648	-0.00786019	0.707446	0.00511498	0.705811	-0.0036746	0.708372	0.0035925	0.706773	-0.00448021	0.707417	0.705408	-0.0100971	0.708698	0.00671049	0.706101	-0.0107402	0.707999	0.0066533	0.705967	-0.0105497	0.708123	0.00789646	0.511216	0.495012	0.486502	0.50689
0.03	0.507818	0.491523	0.49276	0.507654	0.50691	0.493146	0.493235	0.506527	0.507349	0.493023	0.492321	0.507095	0.505735	0.493932	0.495059	0.505154	0.505207	0.494474	0.494951	0.505257	0.503959	0.496616	0.495818	0.503549	0.504138	0.497022	0.496095	0.502696	0.504502	0.491199	0.497124	0.50702	0.0102663	0.706666	-0.00778427	0.70743	0.00506975	0.705835	-0.00361806	0.708349	0.00358521	0.706786	-0.0044567	0.707404	0.705428	-0.01006	0.708678	0.00670765	0.70611	-0.0106341	0.707992	0.00659442	0.705988	-0.0105555	0.7081	0.00792054	0.511236	0.494987	0.486496	0.506899
0.04	0.507832	0.491557	0.492731	0.507636	0.506911	0.493177	0.493221	0.506508	0.507336	0.493051	0.492359	0.507044	0.505791	0.493855	0.49507	0.505162	0.505159	0.494553	0.494984	0.505196	0.503934	0.496659	0.495856	0.503495	0.504144	0.497028	0.496096	0.502683	0.504512	0.491233	0.497106	0.506994	0.0101724	0.706688	-0.00771863	0.70741	0.00499742	0.705857	-0.00356434	0.708327	0.0035563	0.706816	-0.00442495	0.707375	0.705451	-0.00999748	0.708657	0.00668144	0.706119	-0.0105667	0.707984	0.00657036	0.705999	-0.0105745	0.708089	0.00796005	0.511239	0.494974	0.486508	0.506897
0.05	0.507836	0.491599	0.492714	0.507608	0.506883	0.49323	0.493219	0.506487	0.507328	0.49308	0.492401	0.506983	0.505857	0.493775	0.495058	0.505186	0.505121	0.494629	0.495	0.505144	0.503895	0.496704	0.495898	0.503448	0.504166	0.497023	0.496082	0.50268	0.504518	0.491273	0.497086	0.50697	0.0101284	0.706716	-0.00765658	0.707383	0.00496025	0.705871	-0.00351463	0.708314	0.00353602	0.706842	-0.00439904	0.707349	0.705479	-0.00994489	0.70863	0.00664721	0.706129	-0.0105286	0.707974	0.00657094	0.705999	-0.0105862	0.708089	0.00800617	0.511229	0.494974	0.486541	0.506876
0.06	0.507829	0.491646	0.492704	0.507579	0.506848	0.493282	0.493219	0.50647	0.507293	0.493145	0.49245	0.506907	0.505923	0.493696	0.495046	0.505209	0.505093	0.494697	0.495003	0.505102	0.50386	0.496746	0.49594	0.5034	0.504196	0.497001	0.496079	0.502675	0.504535	0.491308	0.497065	0.506938	0.0100797	0.706749	-0.00758413	0.707352	0.00496119	0.705889	-0.00349655	0.708296	0.00352106	0.706872	-0.0043766	0.707319	0.705503	-0.00990254	0.708607	0.00663103	0.706143	-0.0105086	0.707961	0.00657628	0.70599	-0.0105805	0.708097	0.00805424	0.511206	0.494991	0.486569	0.506855
0.07	0.507822	0.491696	0.492694	0.507548	0.506828	0.493325	0.493232	0.506437	0.507249	0.493236	0.492485	0.506828	0.505989	0.493611	0.495037	0.505235	0.50507	0.494757	0.495008	0.505062	0.503831	0.49678	0.49598	0.503357	0.504192	0.497009	0.496074	0.502676	0.504561	0.491332	0.497041	0.506913	0.0100226	0.70678	-0.0075352	0.707322	0.00501745	0.705915	-0.00347789	0.70827	0.0035085	0.706905	-0.00433285	0.707287	0.705525	-0.00988767	0.708585	0.00663502	0.706157	-0.010505	0.707946	0.00658283	0.705991	-0.0105769	0.708095	0.00808593	0.511178	0.495001	0.486607	0.506838
0.08	0.507811	0.491745	0.492689	0.507515	0.506803	0.493381	0.493245	0.506394	0.507208	0.493335	0.492499	0.50676	0.50605	0.493538	0.495018	0.505263	0.505047	0.494812	0.495008	0.505031	0.50381	0.4968	0.496007	0.503332	0.504189	0.497014	0.496061	0.502687	0.504592	0.49135	0.497014	0.506892	0.010001	0.706806	-0.00747828	0.707297	0.00504223	0.705954	-0.0034584	0.708231	0.00349628	0.706929	-0.00429791	0.707263	0.705539	-0.00991252	0.70857	0.00665697	0.706163	-0.010478	0.707941	0.00657386	0.705993	-0.0105731	0.708094	0.00810399	0.511147	0.494999	0.48666	0.50682
0.09	0.507802	0.491792	0.492684	0.507485	0.506772	0.493439	0.493248	0.506366	0.507168	0.493431	0.492499	0.506707	0.506135	0.493445	0.495005	0.505281	0.505031	0.494853	0.494997	0.505017	0.503792	0.496817	0.496026	0.503314	0.504183	0.497007	0.496073	0.502687	0.504641	0.491364	0.496988	0.506856	0.00998536	0.70682	-0.00742999	0.707284	0.00501216	0.705995	-0.00343148	0.708191	0.00344818	0.706962	-0.00429173	0.70723	0.705549	-0.00996028	0.70856	0.00669254	0.706171	-0.0104293	0.707934	0.00654283	0.705998	-0.0105801	0.708088	0.0081338	0.511121	0.49498	0.486714	0.506813
