Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.479106	0.519872	0.519754	0.479632	0.481521	0.52086	0.519873	0.475998	0.479686	0.521202	0.522823	0.474244	0.479878	0.519267	0.520373	0.478842	0.4806	0.519493	0.519866	0.478425	0.479166	0.523269	0.520656	0.474875	0.479448	0.521307	0.519282	0.478242	0.477195	0.525587	0.519228	0.475862	-0.0328935	0.704688	0.0318756	0.708037	-0.023161	0.705537	0.0256878	0.707829	-0.0275864	0.707258	0.0193578	0.706152	0.704203	0.0246028	0.708866	-0.0316591	0.701125	0.058786	0.708826	-0.0503444	0.70273	0.0446592	0.7088	-0.0421704	0.482535	0.562249	0.488775	0.460581
0.01	0.479103	0.519851	0.519789	0.479619	0.481518	0.520854	0.519892	0.475987	0.479657	0.521295	0.522794	0.474201	0.479898	0.51927	0.520372	0.47882	0.480579	0.519507	0.519904	0.478388	0.479167	0.523298	0.520634	0.474867	0.479409	0.521309	0.519303	0.478256	0.4772	0.525534	0.519243	0.4759	-0.0329096	0.704684	0.0318787	0.70804	-0.0229947	0.705555	0.0256189	0.707819	-0.0275565	0.707269	0.0193389	0.706142	0.704203	0.0246126	0.708863	-0.0317146	0.701115	0.0588896	0.708821	-0.0504215	0.702741	0.0446525	0.708786	-0.0422339	0.482532	0.562278	0.488782	0.460541
0.02	0.479098	0.519823	0.519833	0.479608	0.4815	0.52086	0.519912	0.475977	0.47963	0.521377	0.522774	0.47416	0.479922	0.519263	0.520375	0.478801	0.480563	0.519514	0.51994	0.478359	0.47917	0.523322	0.52062	0.474853	0.479377	0.521293	0.519308	0.478301	0.477195	0.525485	0.519272	0.475927	-0.0329426	0.704672	0.0319174	0.708049	-0.0228157	0.705572	0.0255285	0.707811	-0.0275219	0.707276	0.0193397	0.706136	0.704201	0.0246323	0.708862	-0.0317603	0.701116	0.0589296	0.708815	-0.0504419	0.702764	0.0446727	0.708757	-0.0423242	0.482527	0.562298	0.488805	0.460498
0.03	0.479086	0.519804	0.51987	0.4796	0.48148	0.520866	0.519935	0.475966	0.479605	0.521451	0.522752	0.474129	0.479937	0.519256	0.520386	0.478782	0.480543	0.51952	0.51997	0.478341	0.47918	0.523344	0.520596	0.474844	0.47935	0.521267	0.519306	0.478358	0.477175	0.525452	0.519308	0.475945	-0.0329959	0.704649	0.0319826	0.708066	-0.0226659	0.705586	0.0254572	0.707804	-0.0274589	0.707281	0.0193479	0.706134	0.7042	0.0246319	0.708862	-0.0317919	0.701114	0.0589515	0.708815	-0.0504475	0.702797	0.0446873	0.708716	-0.0424331	0.482526	0.562311	0.488841	0.460446
0.04	0.479103	0.519762	0.519894	0.479603	0.481474	0.520858	0.519967	0.475946	0.479587	0.521505	0.522743	0.474098	0.47996	0.519256	0.520385	0.47876	0.48054	0.519511	0.52	0.47832	0.479183	0.52338	0.520564	0.474837	0.479339	0.521235	0.519302	0.478408	0.477151	0.525432	0.519336	0.47596	-0.0330538	0.704619	0.0320618	0.708091	-0.0225374	0.705592	0.0254032	0.707804	-0.0274025	0.707288	0.0193383	0.706129	0.704181	0.0246168	0.708881	-0.0318064	0.7011	0.0589794	0.708826	-0.0504561	0.702822	0.0446926	0.708687	-0.0425072	0.482535	0.562309	0.488883	0.460393
0.05	0.47911	0.519724	0.519924	0.479603	0.481461	0.520861	0.519991	0.475928	0.479596	0.521526	0.522723	0.474088	0.479987	0.519245	0.520393	0.478735	0.48054	0.519501	0.520035	0.478293	0.479187	0.523417	0.520543	0.474816	0.479335	0.521192	0.519303	0.478457	0.477119	0.525418	0.519365	0.475977	-0.0331102	0.704588	0.0321456	0.708115	-0.0224515	0.705591	0.0253688	0.70781	-0.0273893	0.707295	0.0193243	0.706123	0.704162	0.0245954	0.708899	-0.031817	0.7011	0.0589863	0.708825	-0.050462	0.702838	0.0446674	0.708671	-0.0425327	0.482544	0.562289	0.488934	0.460354
0.06	0.479117	0.519687	0.519955	0.479604	0.481452	0.520857	0.520013	0.475918	0.479625	0.521534	0.522686	0.474091	0.480013	0.519238	0.520393	0.478718	0.480524	0.519502	0.520074	0.478264	0.479198	0.523441	0.520523	0.474799	0.479323	0.521156	0.519305	0.478506	0.477076	0.525406	0.519402	0.475993	-0.0331641	0.704563	0.0322446	0.708132	-0.0224166	0.70558	0.0253565	0.707821	-0.0274025	0.7073	0.0193249	0.706118	0.704148	0.0245456	0.708917	-0.0317837	0.701098	0.0590135	0.708822	-0.0505017	0.702846	0.044632	0.708662	-0.0425964	0.482559	0.562257	0.488983	0.460326
0.07	0.479115	0.519657	0.519986	0.479604	0.481448	0.520843	0.52003	0.47592	0.479657	0.521536	0.522648	0.474098	0.48002	0.519237	0.520398	0.478707	0.480503	0.519517	0.520113	0.478228	0.479208	0.523458	0.520507	0.474788	0.479326	0.521127	0.519295	0.478546	0.477031	0.525387	0.519439	0.476018	-0.0332263	0.704539	0.0323556	0.708148	-0.0224105	0.705564	0.0253633	0.707838	-0.0274336	0.707303	0.0193256	0.706114	0.704131	0.0244873	0.708937	-0.0317512	0.701096	0.0590498	0.708816	-0.0505666	0.702861	0.0446237	0.708641	-0.0426842	0.482587	0.562205	0.48903	0.46031
0.08	0.479102	0.519631	0.52002	0.479608	0.481455	0.520818	0.520049	0.475919	0.479693	0.521532	0.522603	0.474116	0.480031	0.519242	0.520393	0.478695	0.480471	0.519547	0.520145	0.478192	0.479218	0.523468	0.520503	0.474771	0.479355	0.521093	0.519276	0.478574	0.477002	0.525329	0.519491	0.476053	-0.0332804	0.70451	0.0324783	0.708169	-0.0223998	0.705545	0.0253746	0.707856	-0.0274823	0.707313	0.0192919	0.706103	0.704092	0.0244525	0.708979	-0.0317255	0.701088	0.0590722	0.708819	-0.0506117	0.70288	0.0446244	0.708617	-0.0427886	0.482606	0.562137	0.489089	0.460309
0.09	0.479085	0.519608	0.520058	0.479608	0.481462	0.520782	0.520066	0.475932	0.479732	0.521523	0.522551	0.474142	0.480031	0.519245	0.520392	0.478693	0.480447	0.519577	0.520174	0.478152	0.479228	0.523481	0.520495	0.474756	0.479403	0.521052	0.519252	0.478597	0.476975	0.525286	0.51954	0.476075	-0.033335	0.704489	0.0326066	0.708182	-0.022401	0.705533	0.0253681	0.707869	-0.027534	0.707319	0.0192265	0.706096	0.704055	0.0244242	0.709017	-0.0317061	0.701071	0.0591049	0.708831	-0.0506412	0.702864	0.0446219	0.708628	-0.0428619	0.482614	0.562066	0.489161	0.460313
