Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,0.47070,0.00000,-0.23757,0.00000,-0.62077,0.00000,0.52503
0.01001,0.01000,0.46900,0.01000,-0.23910,0.01000,-0.62027,0.01000,0.52423
0.02001,0.02000,0.46717,0.02000,-0.24086,0.02000,-0.61989,0.02000,0.52342
0.03002,0.03000,0.46531,0.03000,-0.24281,0.03000,-0.61966,0.03000,0.52265
0.04002,0.04000,0.46351,0.04000,-0.24486,0.04000,-0.61957,0.04000,0.52201
0.05003,0.05000,0.46189,0.05000,-0.24697,0.05000,-0.61961,0.05000,0.52154
0.06004,0.06000,0.46055,0.06000,-0.24904,0.06000,-0.61970,0.06000,0.52132
0.07004,0.07000,0.45960,0.07000,-0.25102,0.07000,-0.61979,0.07000,0.52139
0.08005,0.08000,0.45910,0.08000,-0.25285,0.08000,-0.61978,0.08000,0.52179
0.09005,0.09000,0.45907,0.09000,-0.25449,0.09000,-0.61958,0.09000,0.52252
0.10006,0.10000,0.45950,0.10000,-0.25593,0.10000,-0.61909,0.10000,0.52357
0.11007,0.11000,0.46030,0.11000,-0.25717,0.11000,-0.61822,0.11000,0.52485
0.12007,0.12000,0.46135,0.12000,-0.25818,0.12000,-0.61686,0.12000,0.52626
0.13008,0.13000,0.46249,0.13000,-0.25897,0.13000,-0.61492,0.13000,0.52765
0.14008,0.14000,0.46354,0.14000,-0.25952,0.14000,-0.61230,0.14000,0.52883
0.15009,0.15000,0.46429,0.15000,-0.25978,0.15000,-0.60891,0.15000,0.52964
0.16010,0.16000,0.46456,0.16000,-0.25972,0.16000,-0.60466,0.16000,0.52988
0.17010,0.17000,0.46419,0.17000,-0.25929,0.17000,-0.59945,0.17000,0.52939
0.18011,0.18000,0.46304,0.18000,-0.25843,0.18000,-0.59321,0.18000,0.52802
0.19011,0.19000,0.46102,0.19000,-0.25710,0.19000,-0.58585,0.19000,0.52565
0.20012,0.20000,0.45807,0.20000,-0.25527,0.20000,-0.57733,0.20000,0.52224
0.21013,0.21000,0.45418,0.21000,-0.25292,0.21000,-0.56765,0.21000,0.51775
0.22013,0.22000,0.44936,0.22000,-0.25008,0.22000,-0.55684,0.22000,0.51221
