Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.60727,0.00000,-0.86368,0.00000,0.34482,0.00000,-0.28675,0.00000,-0.60645,0.00000,-0.86464
0.01000,0.01000,-0.55774,0.01000,-0.85440,0.01000,0.34793,0.01000,-0.28879,0.01000,-0.55692,0.01000,-0.85537
0.02000,0.02000,-0.50154,0.02000,-0.84366,0.02000,0.35516,0.02000,-0.29063,0.02000,-0.50075,0.02000,-0.84465
0.03000,0.03000,-0.44078,0.03000,-0.83182,0.03000,0.36706,0.03000,-0.29207,0.03000,-0.44004,0.03000,-0.83283
0.04001,0.04000,-0.37824,0.04000,-0.81939,0.04000,0.38389,0.04000,-0.29295,0.04000,-0.37759,0.04000,-0.82043
0.05001,0.05000,-0.31724,0.05000,-0.80699,0.05000,0.40549,0.05000,-0.29312,0.05000,-0.31672,0.05000,-0.80804
0.06001,0.06000,-0.26140,0.06000,-0.79532,0.06000,0.43128,0.06000,-0.29245,0.06000,-0.26106,0.06000,-0.79639
0.07001,0.07000,-0.21441,0.07000,-0.78510,0.07000,0.46034,0.07000,-0.29089,0.07000,-0.21428,0.07000,-0.78619
0.08001,0.08000,-0.17967,0.08000,-0.77702,0.08000,0.49144,0.08000,-0.28841,0.08000,-0.17979,0.08000,-0.77812
0.09001,0.09000,-0.16005,0.09000,-0.77165,0.09000,0.52319,0.09000,-0.28503,0.09000,-0.16044,0.09000,-0.77274
0.10002,0.10000,-0.15756,0.10000,-0.76937,0.10000,0.55420,0.10000,-0.28083,0.10000,-0.15824,0.10000,-0.77046
0.11002,0.11000,-0.17312,0.11000,-0.77037,0.11000,0.58315,0.11000,-0.27586,0.11000,-0.17409,0.11000,-0.77144
0.12002,0.12000,-0.20644,0.12000,-0.77455,0.12000,0.60888,0.12000,-0.27024,0.12000,-0.20769,0.12000,-0.77560
0.13002,0.13000,-0.25594,0.13000,-0.78160,0.13000,0.63042,0.13000,-0.26408,0.13000,-0.25744,0.13000,-0.78261
0.14002,0.14000,-0.31885,0.14000,-0.79095,0.14000,0.64701,0.14000,-0.25756,0.14000,-0.32055,0.14000,-0.79194
0.15002,0.15000,-0.39134,0.15000,-0.80189,0.15000,0.65803,0.15000,-0.25087,0.15000,-0.39319,0.15000,-0.80285
0.16002,0.16000,-0.46890,0.16000,-0.81359,0.16000,0.66303,0.16000,-0.24428,0.16000,-0.47082,0.16000,-0.81452
0.17003,0.17000,-0.54659,0.17000,-0.82520,0.17000,0.66166,0.17000,-0.23809,0.17000,-0.54851,0.17000,-0.82610
0.18003,0.18000,-0.61948,0.18000,-0.83592,0.18000,0.65372,0.18000,-0.23263,0.18000,-0.62133,0.18000,-0.83680
0.19003,0.19000,-0.68298,0.19000,-0.84503,0.19000,0.63916,0.19000,-0.22826,0.19000,-0.68469,0.19000,-0.84590
0.20003,0.20000,-0.73319,0.20000,-0.85197,0.20000,0.61814,0.20000,-0.22527,0.20000,-0.73470,0.20000,-0.85284
0.21003,0.21000,-0.76708,0.21000,-0.85634,0.21000,0.59108,0.21000,-0.22392,0.21000,-0.76833,0.21000,-0.85721
0.22003,0.22000,-0.78265,0.22000,-0.85788,0.22000,0.55871,0.22000,-0.22436,0.22000,-0.78362,0.22000,-0.85878
0.23003,0.23000,-0.77901,0.23000,-0.85653,0.23000,0.52210,0.23000,-0.22665,0.23000,-0.77968,0.23000,-0.85745
0.24004,0.24000,-0.75630,0.24000,-0.85235,0.24000,0.48265,0.24000,-0.23068,0.24000,-0.75667,0.24000,-0.85331
0.25004,0.25000,-0.71562,0.25000,-0.84553,0.25000,0.44202,0.25000,-0.23624,0.25000,-0.71572,0.25000,-0.84652
0.26004,0.26000,-0.65894,0.26000,-0.83636,0.26000,0.40208,0.26000,-0.24299,0.26000,-0.65880,0.26000,-0.83739
0.27004,0.27000,-0.58893,0.27000,-0.82521,0.27000,0.36475,0.27000,-0.25049,0.27000,-0.58859,0.27000,-0.82629
0.28004,0.28000,-0.50883,0.28000,-0.81255,0.28000,0.33188,0.28000,-0.25829,0.28000,-0.50834,0.28000,-0.81367
0.29004,0.29000,-0.42231,0.29000,-0.79890,0.29000,0.30506,0.29000,-0.26590,0.29000,-0.42175,0.29000,-0.80006
0.30004,0.30000,-0.33337,0.30000,-0.78484,0.30000,0.28558,0.30000,-0.27289,0.30000,-0.33278,0.30000,-0.78603
0.31005,0.31000,-0.24613,0.31000,-0.77098,0.31000,0.27425,0.31000,-0.27890,0.31000,-0.24558,0.31000,-0.77220
0.32005,0.32000,-0.16475,0.32000,-0.75794,0.32000,0.27146,0.32000,-0.28364,0.32000,-0.16430,0.32000,-0.75918
0.33005,0.33000,-0.09318,0.33000,-0.74633,0.33000,0.27713,0.33000,-0.28690,0.33000,-0.09289,0.33000,-0.74757
0.34005,0.34000,-0.03505,0.34000,-0.73667,0.34000,0.29076,0.34000,-0.28857,0.34000,-0.03495,0.34000,-0.73791
0.35005,0.35000,0.00662,0.35000,-0.72938,0.35000,0.31150,0.35000,-0.28860,0.35000,0.00647,0.35000,-0.73060
0.36005,0.36000,0.02954,0.36000,-0.72472,0.36000,0.33822,0.36000,-0.28699,0.36000,0.02912,0.36000,-0.72591
0.37006,0.37000,0.03242,0.37000,-0.72276,0.37000,0.36957,0.37000,-0.28381,0.37000,0.03173,0.37000,-0.72391
0.38006,0.38000,0.01511,0.38000,-0.72336,0.38000,0.40402,0.38000,-0.27912,0.38000,0.01414,0.38000,-0.72445
0.39006,0.39000,-0.02136,0.39000,-0.72618,0.39000,0.43994,0.39000,-0.27305,0.39000,-0.02260,0.39000,-0.72721
0.40006,0.40000,-0.07474,0.40000,-0.73071,0.40000,0.47558,0.40000,-0.26572,0.40000,-0.07623,0.40000,-0.73169
0.41006,0.41000,-0.14174,0.41000,-0.73634,0.41000,0.50921,0.41000,-0.25728,0.41000,-0.14342,0.41000,-0.73724
0.42006,0.42000,-0.21819,0.42000,-0.74238,0.42000,0.53908,0.42000,-0.24792,0.42000,-0.22002,0.42000,-0.74322
0.43006,0.43000,-0.29943,0.43000,-0.74816,0.43000,0.56359,0.43000,-0.23789,0.43000,-0.30134,0.43000,-0.74894
0.44007,0.44000,-0.38058,0.44000,-0.75311,0.44000,0.58134,0.44000,-0.22749,0.44000,-0.38249,0.44000,-0.75382
0.45007,0.45000,-0.45690,0.45000,-0.75672,0.45000,0.59124,0.45000,-0.21705,0.45000,-0.45876,0.45000,-0.75738
0.46007,0.46000,-0.52413,0.46000,-0.75867,0.46000,0.59255,0.46000,-0.20694,0.46000,-0.52585,0.46000,-0.75928
0.47007,0.47000,-0.57866,0.47000,-0.75871,0.47000,0.58499,0.47000,-0.19756,0.47000,-0.58020,0.47000,-0.75928
0.48007,0.48000,-0.61775,0.48000,-0.75674,0.48000,0.56874,0.48000,-0.18929,0.48000,-0.61905,0.48000,-0.75728
0.49007,0.49000,-0.63954,0.49000,-0.75275,0.49000,0.54447,0.49000,-0.18245,0.49000,-0.64058,0.49000,-0.75326
0.50007,0.50000,-0.64309,0.50000,-0.74676,0.50000,0.51336,0.50000,-0.17729,0.50000,-0.64384,0.50000,-0.74725
0.51008,0.51000,-0.62829,0.51000,-0.73885,0.51000,0.47707,0.51000,-0.17395,0.51000,-0.62877,0.51000,-0.73932
0.52008,0.52000,-0.59588,0.52000,-0.72912,0.52000,0.43760,0.52000,-0.17243,0.52000,-0.59610,0.52000,-0.72957
0.53008,0.53000,-0.54730,0.53000,-0.71768,0.53000,0.39720,0.53000,-0.17260,0.53000,-0.54729,0.53000,-0.71813
0.54008,0.54000,-0.48472,0.54000,-0.70471,0.54000,0.35821,0.54000,-0.17421,0.54000,-0.48452,0.54000,-0.70516
0.55008,0.55000,-0.41096,0.55000,-0.69046,0.55000,0.32281,0.55000,-0.17688,0.55000,-0.41061,0.55000,-0.69091
0.56008,0.56000,-0.32945,0.56000,-0.67525,0.56000,0.29284,0.56000,-0.18020,0.56000,-0.32901,0.56000,-0.67570
0.57008,0.57000,-0.24413,0.57000,-0.65951,0.57000,0.26967,0.57000,-0.18371,0.57000,-0.24365,0.57000,-0.65997
