Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.81839,0.00000,-0.08009,0.00000,0.34631,0.00000,0.82183
0.01000,0.01000,-0.82205,0.01000,-0.08252,0.01000,0.33643,0.01000,0.82570
0.02000,0.02000,-0.82653,0.02000,-0.08482,0.02000,0.32585,0.02000,0.83038
0.03000,0.03000,-0.83172,0.03000,-0.08678,0.03000,0.31517,0.03000,0.83575
0.04001,0.04000,-0.83747,0.04000,-0.08819,0.04000,0.30509,0.04000,0.84162
0.05001,0.05000,-0.84353,0.05000,-0.08884,0.05000,0.29636,0.05000,0.84774
0.06001,0.06000,-0.84960,0.06000,-0.08857,0.06000,0.28976,0.06000,0.85380
0.07001,0.07000,-0.85535,0.07000,-0.08726,0.07000,0.28600,0.07000,0.85946
0.08001,0.08000,-0.86042,0.08000,-0.08491,0.08000,0.28569,0.08000,0.86435
0.09001,0.09000,-0.86444,0.09000,-0.08155,0.09000,0.28928,0.09000,0.86811
0.10002,0.10000,-0.86705,0.10000,-0.07734,0.10000,0.29706,0.10000,0.87040
0.11002,0.11000,-0.86795,0.11000,-0.07249,0.11000,0.30913,0.11000,0.87094
0.12002,0.12000,-0.86688,0.12000,-0.06729,0.12000,0.32537,0.12000,0.86948
0.13002,0.13000,-0.86366,0.13000,-0.06204,0.13000,0.34552,0.13000,0.86586
0.14002,0.14000,-0.85820,0.14000,-0.05704,0.14000,0.36912,0.14000,0.86004
0.15002,0.15000,-0.85055,0.15000,-0.05257,0.15000,0.39558,0.15000,0.85205
0.16002,0.16000,-0.84084,0.16000,-0.04883,0.16000,0.42415,0.16000,0.84207
0.17003,0.17000,-0.82937,0.17000,-0.04596,0.17000,0.45400,0.17000,0.83038
0.18003,0.18000,-0.81653,0.18000,-0.04400,0.18000,0.48422,0.18000,0.81739
0.19003,0.19000,-0.80279,0.19000,-0.04292,0.19000,0.51383,0.19000,0.80357
0.20003,0.20000,-0.78872,0.20000,-0.04262,0.20000,0.54183,0.20000,0.78946
0.21003,0.21000,-0.77486,0.21000,-0.04296,0.21000,0.56728,0.21000,0.77561
0.22003,0.22000,-0.76174,0.22000,-0.04379,0.22000,0.58929,0.22000,0.76254
0.23003,0.23000,-0.74984,0.23000,-0.04495,0.23000,0.60711,0.23000,0.75071
0.24004,0.24000,-0.73950,0.24000,-0.04629,0.24000,0.62019,0.24000,0.74046
0.25004,0.25000,-0.73096,0.25000,-0.04770,0.25000,0.62822,0.25000,0.73201
0.26004,0.26000,-0.72429,0.26000,-0.04908,0.26000,0.63117,0.26000,0.72545
0.27004,0.27000,-0.71945,0.27000,-0.05035,0.27000,0.62931,0.27000,0.72070
0.28004,0.28000,-0.71626,0.28000,-0.05145,0.28000,0.62322,0.28000,0.71759
0.29004,0.29000,-0.71445,0.29000,-0.05230,0.29000,0.61371,0.29000,0.71585
0.30004,0.30000,-0.71366,0.30000,-0.05286,0.30000,0.60182,0.30000,0.71511
0.31005,0.31000,-0.71351,0.31000,-0.05306,0.31000,0.58874,0.31000,0.71500
