Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.364767	0.60286	0.607674	0.366384	0.363575	0.602869	0.608234	0.366624	0.36446	0.595914	0.614931	0.365944	0.360474	0.606776	0.610268	0.359798	0.365829	0.600544	0.610726	0.364045	0.359481	0.595975	0.616635	0.367897	0.362703	0.606672	0.609012	0.359862	0.37214	0.597205	0.605549	0.37171	-0.177415	0.616865	0.170288	0.747665	-0.194515	0.622792	0.278698	0.704714	-0.210842	0.612794	0.381225	0.659315	0.657341	0.184037	0.701209	-0.205766	0.675107	0.140868	0.706788	-0.157598	0.704159	0.112617	0.678029	-0.178195	0.378181	0.599703	0.599817	0.370883
0.01	0.364481	0.603042	0.607701	0.366324	0.36327	0.60297	0.608472	0.366367	0.364434	0.59589	0.614993	0.365904	0.360495	0.606744	0.610289	0.359796	0.365626	0.600573	0.610879	0.363946	0.359448	0.595985	0.616719	0.367773	0.362728	0.606633	0.609029	0.359874	0.372049	0.597343	0.605616	0.37147	-0.177402	0.616847	0.170478	0.74764	-0.194371	0.622826	0.278549	0.704782	-0.21031	0.612964	0.381191	0.659347	0.656902	0.181731	0.703297	-0.202057	0.676255	0.131603	0.709033	-0.150437	0.704305	0.0970581	0.683709	-0.164547	0.378294	0.599778	0.599765	0.370731
0.02	0.364194	0.603193	0.607766	0.366253	0.363008	0.603004	0.60871	0.366174	0.364403	0.59588	0.615046	0.365864	0.36051	0.606709	0.610313	0.359798	0.365396	0.600598	0.611036	0.363871	0.359481	0.595963	0.616752	0.367721	0.362763	0.6066	0.609022	0.359905	0.372059	0.597497	0.605608	0.371226	-0.177442	0.616848	0.170678	0.747584	-0.194278	0.622927	0.278443	0.70476	-0.209962	0.61316	0.381209	0.659265	0.656801	0.179742	0.704704	-0.199243	0.676672	0.125578	0.710698	-0.145785	0.702981	0.0804637	0.690719	-0.149164	0.37855	0.599837	0.599652	0.370557
0.03	0.363931	0.603322	0.607855	0.366154	0.362814	0.60299	0.608915	0.366048	0.364343	0.595916	0.615095	0.365783	0.360517	0.606698	0.610322	0.359795	0.365297	0.600523	0.611208	0.363805	0.359569	0.595915	0.616773	0.367679	0.362778	0.606593	0.608996	0.359946	0.372169	0.597646	0.605552	0.370967	-0.17758	0.616854	0.170901	0.747495	-0.194251	0.623065	0.278405	0.704661	-0.209853	0.613342	0.381308	0.659074	0.657143	0.178146	0.705341	-0.197286	0.676925	0.121275	0.711836	-0.142668	0.699993	0.0640784	0.698785	-0.132679	0.378864	0.599889	0.59952	0.370365
0.04	0.363717	0.603424	0.607962	0.366022	0.362675	0.602982	0.609073	0.365937	0.364235	0.596009	0.615146	0.365652	0.360529	0.60672	0.610316	0.359755	0.365179	0.600477	0.611377	0.363716	0.359684	0.595882	0.616775	0.367615	0.362805	0.606587	0.608962	0.359985	0.372352	0.59773	0.605511	0.370714	-0.177767	0.616894	0.171086	0.747375	-0.194278	0.623232	0.278447	0.704489	-0.209967	0.61349	0.381456	0.658814	0.657878	0.177062	0.705331	-0.195842	0.677315	0.117388	0.712538	-0.140547	0.695382	0.0490899	0.707547	-0.115806	0.379206	0.599936	0.599405	0.370125
0.05	0.363536	0.603498	0.608091	0.365865	0.362475	0.603065	0.609196	0.365793	0.364104	0.596136	0.615202	0.365481	0.360491	0.606778	0.610309	0.359708	0.365064	0.60045	0.611541	0.3636	0.359806	0.59587	0.616764	0.367533	0.362814	0.606604	0.608912	0.360033	0.372531	0.597786	0.60548	0.370494	-0.17798	0.616991	0.171166	0.747227	-0.194371	0.623411	0.278566	0.704259	-0.210244	0.61361	0.381609	0.658525	0.658759	0.176823	0.704862	-0.194779	0.677497	0.113356	0.713219	-0.139524	0.6895	0.0365852	0.716292	-0.10088	0.379555	0.599953	0.59933	0.369861
0.06	0.363383	0.603562	0.608229	0.365682	0.362255	0.603192	0.609286	0.365652	0.363969	0.596266	0.615279	0.365274	0.360473	0.606843	0.610285	0.359656	0.364983	0.600494	0.611662	0.363407	0.359881	0.595886	0.616784	0.3674	0.36282	0.606623	0.608861	0.360082	0.372626	0.597866	0.60545	0.37032	-0.178132	0.617174	0.171103	0.747054	-0.194455	0.623593	0.278726	0.704011	-0.210576	0.613718	0.381738	0.658243	0.659578	0.177236	0.704129	-0.194285	0.67703	0.109994	0.714055	-0.140202	0.682823	0.0295473	0.724145	-0.0921604	0.379879	0.599974	0.599281	0.369575
0.07	0.363265	0.603621	0.608364	0.365477	0.361985	0.603376	0.609379	0.365462	0.363768	0.596444	0.615397	0.364985	0.360388	0.606966	0.610224	0.359638	0.364971	0.600549	0.611693	0.363275	0.359861	0.595985	0.616825	0.36719	0.362782	0.606664	0.608824	0.360113	0.372622	0.597995	0.605384	0.370223	-0.17822	0.6174	0.17098	0.746874	-0.19447	0.623794	0.278849	0.70378	-0.210925	0.613813	0.381841	0.657983	0.660029	0.178164	0.703532	-0.194066	0.675878	0.108694	0.714755	-0.143178	0.676745	0.0324343	0.729374	-0.0947577	0.380148	0.600028	0.599259	0.369245
0.08	0.363173	0.603668	0.608505	0.365256	0.361687	0.603593	0.609464	0.365256	0.363495	0.59668	0.615514	0.364673	0.360348	0.607101	0.610132	0.359605	0.364949	0.600648	0.611708	0.363108	0.359768	0.596172	0.61682	0.366987	0.362729	0.606714	0.608797	0.360129	0.372508	0.598178	0.605268	0.370231	-0.178258	0.617651	0.170802	0.746698	-0.194405	0.624032	0.278908	0.703563	-0.211277	0.61392	0.381925	0.657722	0.65985	0.179688	0.7035	-0.193386	0.674242	0.110337	0.71492	-0.148703	0.672177	0.0477269	0.730447	-0.111119	0.380368	0.600138	0.599215	0.368913
0.09	0.363112	0.603704	0.608627	0.365054	0.361329	0.603848	0.609552	0.365042	0.363256	0.596888	0.615616	0.364399	0.360326	0.607163	0.610087	0.359601	0.364898	0.600819	0.611669	0.362942	0.35964	0.596391	0.616759	0.366857	0.362675	0.606769	0.60877	0.360134	0.372311	0.598427	0.605107	0.370291	-0.178265	0.617906	0.170593	0.746534	-0.194274	0.624322	0.278879	0.703353	-0.21167	0.614053	0.382009	0.657422	0.658973	0.181667	0.704215	-0.191921	0.672294	0.115163	0.714251	-0.156853	0.66882	0.0723806	0.727114	-0.136916	0.380541	0.600318	0.59911	0.36861
0.1	0.363111	0.603731	0.608705	0.36488	0.360936	0.604109	0.609657	0.364823	0.363131	0.596987	0.615745	0.364145	0.360247	0.607232	0.610026	0.359666	0.364884	0.600999	0.611598	0.362777	0.359501	0.596587	0.616688	0.366794	0.362627	0.606829	0.608742	0.36013	0.372127	0.598647	0.604919	0.370427	-0.178301	0.618139	0.170373	0.746382	-0.194095	0.624674	0.278775	0.703132	-0.212168	0.61421	0.382108	0.657057	0.657526	0.184058	0.705385	-0.190301	0.670157	0.122665	0.712641	-0.167289	0.665983	0.100995	0.720359	-0.165376	0.380648	0.600589	0.598936	0.368341
0.11	0.363175	0.603748	0.608743	0.364725	0.36063	0.604304	0.609754	0.364641	0.363083	0.596956	0.615893	0.363992	0.360207	0.607271	0.609979	0.35972	0.364915	0.601161	0.611513	0.362622	0.359376	0.596749	0.616607	0.36679	0.362597	0.606864	0.608736	0.360112	0.372003	0.59885	0.604719	0.37055	-0.178402	0.618334	0.170133	0.746251	-0.193979	0.625035	0.278706	0.70287	-0.212836	0.614389	0.382215	0.656612	0.655873	0.186951	0.706342	-0.189634	0.667936	0.13206	0.710167	-0.179121	0.663168	0.131869	0.711185	-0.192445	0.380676	0.60092	0.598723	0.368118
