Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.94123,0.00000,0.40677,0.00000,0.06225
0.01000,0.01000,-0.92097,0.01000,0.40978,0.01000,0.05742
0.02000,0.02000,-0.89795,0.02000,0.41305,0.02000,0.05366
0.03000,0.03000,-0.87284,0.03000,0.41634,0.03000,0.05148
0.04001,0.04000,-0.84650,0.04000,0.41934,0.04000,0.05134
0.05001,0.05000,-0.81992,0.05000,0.42166,0.05000,0.05353
0.06001,0.06000,-0.79412,0.06000,0.42288,0.06000,0.05817
0.07001,0.07000,-0.77009,0.07000,0.42255,0.07000,0.06517
0.08001,0.08000,-0.74868,0.08000,0.42025,0.08000,0.07422
0.09001,0.09000,-0.73058,0.09000,0.41560,0.09000,0.08478
0.10001,0.10000,-0.71619,0.10000,0.40831,0.10000,0.09614
0.11002,0.11000,-0.70563,0.11000,0.39821,0.11000,0.10748
0.12002,0.12000,-0.69871,0.12000,0.38526,0.12000,0.11788
0.13002,0.13000,-0.69496,0.13000,0.36959,0.13000,0.12646
0.14002,0.14000,-0.69367,0.14000,0.35150,0.14000,0.13243
0.15002,0.15000,-0.69393,0.15000,0.33141,0.15000,0.13514
0.16002,0.16000,-0.69476,0.16000,0.30989,0.16000,0.13420
0.17002,0.17000,-0.69516,0.17000,0.28755,0.17000,0.12947
0.18003,0.18000,-0.69425,0.18000,0.26508,0.18000,0.12109
0.19003,0.19000,-0.69133,0.19000,0.24311,0.19000,0.10950
0.20003,0.20000,-0.68595,0.20000,0.22224,0.20000,0.09537
0.21003,0.21000,-0.67796,0.21000,0.20298,0.21000,0.07955
0.22003,0.22000,-0.66755,0.22000,0.18570,0.22000,0.06304
0.23003,0.23000,-0.65520,0.23000,0.17066,0.23000,0.04689
0.24003,0.24000,-0.64168,0.24000,0.15797,0.24000,0.03210
0.25004,0.25000,-0.62794,0.25000,0.14762,0.25000,0.01962
0.26004,0.26000,-0.61507,0.26000,0.13945,0.26000,0.01017
0.27004,0.27000,-0.60414,0.27000,0.13321,0.27000,0.00429
0.28004,0.28000,-0.59613,0.28000,0.12855,0.28000,0.00218
0.29004,0.29000,-0.59179,0.29000,0.12504,0.29000,0.00378
0.30004,0.30000,-0.59160,0.30000,0.12222,0.30000,0.00871
0.31004,0.31000,-0.59565,0.31000,0.11961,0.31000,0.01630
0.32005,0.32000,-0.60370,0.32000,0.11679,0.32000,0.02569
0.33005,0.33000,-0.61512,0.33000,0.11339,0.33000,0.03585
0.34005,0.34000,-0.62900,0.34000,0.10918,0.34000,0.04575
0.35005,0.35000,-0.64423,0.35000,0.10404,0.35000,0.05438
0.36005,0.36000,-0.65958,0.36000,0.09799,0.36000,0.06092
0.37005,0.37000,-0.67381,0.37000,0.09119,0.37000,0.06476
0.38005,0.38000,-0.68583,0.38000,0.08393,0.38000,0.06562
0.39006,0.39000,-0.69473,0.39000,0.07658,0.39000,0.06350
0.40006,0.40000,-0.69989,0.40000,0.06957,0.40000,0.05873
0.41006,0.41000,-0.70103,0.41000,0.06333,0.41000,0.05189
0.42006,0.42000,-0.69820,0.42000,0.05822,0.42000,0.04374
0.43006,0.43000,-0.69182,0.43000,0.05455,0.43000,0.03516
0.44006,0.44000,-0.68256,0.44000,0.05248,0.44000,0.02705
0.45006,0.45000,-0.67134,0.45000,0.05205,0.45000,0.02025
0.46007,0.46000,-0.65920,0.46000,0.05315,0.46000,0.01549
0.47007,0.47000,-0.64725,0.47000,0.05552,0.47000,0.01329
0.48007,0.48000,-0.63652,0.48000,0.05877,0.48000,0.01396
0.49007,0.49000,-0.62786,0.49000,0.06244,0.49000,0.01754
0.50007,0.50000,-0.62188,0.50000,0.06599,0.50000,0.02383
0.51007,0.51000,-0.61888,0.51000,0.06884,0.51000,0.03238
0.52007,0.52000,-0.61881,0.52000,0.07048,0.52000,0.04255
0.53008,0.53000,-0.62127,0.53000,0.07045,0.53000,0.05358
0.54008,0.54000,-0.62560,0.54000,0.06842,0.54000,0.06462
0.55008,0.55000,-0.63094,0.55000,0.06420,0.55000,0.07486
0.56008,0.56000,-0.63633,0.56000,0.05778,0.56000,0.08358
0.57008,0.57000,-0.64081,0.57000,0.04931,0.57000,0.09024
0.58008,0.58000,-0.64358,0.58000,0.03907,0.58000,0.09453
0.59008,0.59000,-0.64403,0.59000,0.02749,0.59000,0.09637
0.60009,0.60000,-0.64182,0.60000,0.01501,0.60000,0.09595
0.61009,0.61000,-0.63691,0.61000,0.00214,0.61000,0.09368
0.62009,0.62000,-0.62956,0.62000,-0.01067,0.62000,0.09014
0.63009,0.63000,-0.62029,0.63000,-0.02301,0.63000,0.08599
0.64009,0.64000,-0.60979,0.64000,-0.03459,0.64000,0.08193
0.65009,0.65000,-0.59890,0.65000,-0.04521,0.65000,0.07860
0.66009,0.66000,-0.58845,0.66000,-0.05481,0.66000,0.07651
0.67010,0.67000,-0.57927,0.67000,-0.06346,0.67000,0.07603
0.68010,0.68000,-0.57200,0.68000,-0.07134,0.68000,0.07731
0.69010,0.69000,-0.56713,0.69000,-0.07873,0.69000,0.08030
0.70010,0.70000,-0.56483,0.70000,-0.08598,0.70000,0.08474
0.71010,0.71000,-0.56499,0.71000,-0.09349,0.71000,0.09020
0.72010,0.72000,-0.56722,0.72000,-0.10163,0.72000,0.09611
0.73010,0.73000,-0.57085,0.73000,-0.11075,0.73000,0.10183
0.74011,0.74000,-0.57500,0.74000,-0.12110,0.74000,0.10668
0.75011,0.75000,-0.57871,0.75000,-0.13277,0.75000,0.11008
0.76011,0.76000,-0.58102,0.76000,-0.14575,0.76000,0.11153
0.77011,0.77000,-0.58109,0.77000,-0.15986,0.77000,0.11071
0.78011,0.78000,-0.57826,0.78000,-0.17478,0.78000,0.10751
0.79011,0.79000,-0.57214,0.79000,-0.19010,0.79000,0.10204
0.80011,0.80000,-0.56263,0.80000,-0.20535,0.80000,0.09461
0.81012,0.81000,-0.54991,0.81000,-0.22003,0.81000,0.08571
0.82012,0.82000,-0.53440,0.82000,-0.23368,0.82000,0.07596
0.83012,0.83000,-0.51673,0.83000,-0.24591,0.83000,0.06603
