Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.05052,0.00000,-0.02884,0.00000,-0.26278,0.00000,0.06691,0.00000,-0.04949,0.00000,-0.02934
0.01000,0.01000,-0.03793,0.01000,0.00856,0.01000,-0.24581,0.01000,0.02640,0.01000,-0.03693,0.01000,0.00821
0.02000,0.02000,-0.02309,0.02000,0.04813,0.02000,-0.21310,0.02000,-0.01558,0.02000,-0.02217,0.02000,0.04792
0.03000,0.03000,-0.00659,0.03000,0.08757,0.03000,-0.16335,0.03000,-0.05653,0.03000,-0.00582,0.03000,0.08749
0.04001,0.04000,0.01069,0.04000,0.12423,0.04000,-0.09673,0.04000,-0.09370,0.04000,0.01125,0.04000,0.12425
0.05001,0.05000,0.02756,0.05000,0.15533,0.05000,-0.01521,0.05000,-0.12439,0.05000,0.02784,0.05000,0.15544
0.06001,0.06000,0.04260,0.06000,0.17831,0.06000,0.07734,0.06000,-0.14621,0.06000,0.04255,0.06000,0.17847
0.07001,0.07000,0.05426,0.07000,0.19104,0.07000,0.17538,0.07000,-0.15736,0.07000,0.05385,0.07000,0.19121
0.08001,0.08000,0.06103,0.08000,0.19214,0.08000,0.27209,0.08000,-0.15687,0.08000,0.06026,0.08000,0.19229
0.09001,0.09000,0.06166,0.09000,0.18119,0.09000,0.36009,0.09000,-0.14478,0.09000,0.06055,0.09000,0.18128
0.10002,0.10000,0.05538,0.10000,0.15881,0.10000,0.43215,0.10000,-0.12217,0.10000,0.05398,0.10000,0.15882
0.11002,0.11000,0.04218,0.11000,0.12671,0.11000,0.48216,0.11000,-0.09117,0.11000,0.04055,0.11000,0.12662
0.12002,0.12000,0.02289,0.12000,0.08758,0.12000,0.50583,0.12000,-0.05469,0.12000,0.02114,0.12000,0.08737
0.13002,0.13000,-0.00075,0.13000,0.04481,0.13000,0.50133,0.13000,-0.01628,0.13000,-0.00253,0.13000,0.04448
0.14002,0.14000,-0.02631,0.14000,0.00225,0.14000,0.46960,0.14000,0.02035,0.14000,-0.02801,0.14000,0.00181
0.15002,0.15000,-0.05094,0.15000,-0.03620,0.15000,0.41426,0.15000,0.05159,0.15000,-0.05247,0.15000,-0.03672
0.16002,0.16000,-0.07179,0.16000,-0.06690,0.16000,0.34126,0.16000,0.07438,0.16000,-0.07307,0.16000,-0.06749
0.17003,0.17000,-0.08636,0.17000,-0.08687,0.17000,0.25821,0.17000,0.08649,0.17000,-0.08734,0.17000,-0.08748
0.18003,0.18000,-0.09280,0.18000,-0.09402,0.18000,0.17368,0.18000,0.08675,0.18000,-0.09346,0.18000,-0.09462
0.19003,0.19000,-0.09010,0.19000,-0.08742,0.19000,0.09630,0.19000,0.07517,0.19000,-0.09046,0.19000,-0.08799
0.20003,0.20000,-0.07809,0.20000,-0.06742,0.20000,0.03399,0.20000,0.05299,0.20000,-0.07820,0.20000,-0.06790
0.21003,0.21000,-0.05745,0.21000,-0.03560,0.21000,-0.00682,0.21000,0.02248,0.21000,-0.05738,0.21000,-0.03598
0.22003,0.22000,-0.02956,0.22000,0.00530,0.22000,-0.02186,0.22000,-0.01320,0.22000,-0.02941,0.22000,0.00503
