Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.26419,0.00000,0.01297,0.00000,8.01428,0.00000,-0.22442,0.00000,-1.89492,0.00000,0.16862
0.01000,0.01000,0.38731,0.01000,0.00149,0.01000,8.75132,0.01000,-0.20628,0.01000,-1.91568,0.01000,0.17795
0.02000,0.02000,0.55346,0.02000,-0.00793,0.02000,9.39569,0.02000,-0.19084,0.02000,-1.91083,0.02000,0.18192
0.03000,0.03000,0.76070,0.03000,-0.01409,0.03000,9.88043,0.03000,-0.17982,0.03000,-1.87184,0.03000,0.17915
0.04001,0.04000,1.00247,0.04000,-0.01594,0.04000,10.14406,0.04000,-0.17476,0.04000,-1.79107,0.04000,0.16875
0.05001,0.05000,1.26720,0.05000,-0.01268,0.05000,10.13912,0.05000,-0.17685,0.05000,-1.66300,0.05000,0.15051
0.06001,0.06000,1.53876,0.06000,-0.00394,0.06000,9.83976,0.06000,-0.18666,0.06000,-1.48545,0.06000,0.12500
0.07001,0.07000,1.79761,0.07000,0.01013,0.07000,9.24733,0.07000,-0.20408,0.07000,-1.26086,0.07000,0.09364
0.08001,0.08000,2.02298,0.08000,0.02888,0.08000,8.39271,0.08000,-0.22822,0.08000,-0.99723,0.08000,0.05863
0.09001,0.09000,2.19540,0.09000,0.05113,0.09000,7.33515,0.09000,-0.25744,0.09000,-0.70850,0.09000,0.02275
0.10002,0.10000,2.29942,0.10000,0.07533,0.10000,6.15741,0.10000,-0.28950,0.10000,-0.41395,0.10000,-0.01089
0.11002,0.11000,2.32570,0.11000,0.09968,0.11000,4.95798,0.11000,-0.32175,0.11000,-0.13661,0.11000,-0.03917
0.12002,0.12000,2.27236,0.12000,0.12230,0.12000,3.84143,0.12000,-0.35140,0.12000,0.09922,0.12000,-0.05936
0.13002,0.13000,2.14525,0.13000,0.14141,0.13000,2.90796,0.13000,-0.37581,0.13000,0.27105,0.13000,-0.06938
0.14002,0.14000,1.95731,0.14000,0.15555,0.14000,2.24325,0.14000,-0.39275,0.14000,0.36132,0.14000,-0.06807
0.15002,0.15000,1.72708,0.15000,0.16368,0.15000,1.90952,0.15000,-0.40069,0.15000,0.36016,0.15000,-0.05535
0.16002,0.16000,1.47664,0.16000,0.16530,0.16000,1.93860,0.16000,-0.39890,0.16000,0.26724,0.16000,-0.03219
0.17003,0.17000,1.22936,0.17000,0.16055,0.17000,2.32787,0.17000,-0.38762,0.17000,0.09211,0.17000,-0.00056
0.18003,0.18000,1.00780,0.18000,0.15019,0.18000,3.03959,0.18000,-0.36800,0.18000,-0.14685,0.18000,0.03675
0.19003,0.19000,0.83193,0.19000,0.13554,0.19000,4.00401,0.19000,-0.34205,0.19000,-0.42501,0.19000,0.07645
0.20003,0.20000,0.71779,0.20000,0.11839,0.20000,5.12593,0.20000,-0.31240,0.20000,-0.71471,0.20000,0.11501
0.21003,0.21000,0.67632,0.21000,0.10080,0.21000,6.29404,0.21000,-0.28210,0.21000,-0.98854,0.21000,0.14900
0.22003,0.22000,0.71245,0.22000,0.08491,0.22000,7.39190,0.22000,-0.25426,0.22000,-1.22192,0.22000,0.17549
0.23003,0.23000,0.82426,0.23000,0.07273,0.23000,8.30954,0.23000,-0.23174,0.23000,-1.39494,0.23000,0.19227
0.24004,0.24000,1.00255,0.24000,0.06594,0.24000,8.95446,0.24000,-0.21688,0.24000,-1.49325,0.24000,0.19813
0.25004,0.25000,1.23103,0.25000,0.06571,0.25000,9.26105,0.25000,-0.21121,0.25000,-1.50869,0.25000,0.19298
0.26004,0.26000,1.48736,0.26000,0.07261,0.26000,9.19748,0.26000,-0.21529,0.26000,-1.43963,0.26000,0.17789
0.27004,0.27000,1.74545,0.27000,0.08651,0.27000,8.76930,0.27000,-0.22867,0.27000,-1.29145,0.27000,0.15500
0.28004,0.28000,1.97839,0.28000,0.10661,0.28000,8.01900,0.28000,-0.24992,0.28000,-1.07675,0.28000,0.12724
0.29004,0.29000,2.16195,0.29000,0.13152,0.29000,7.02167,0.29000,-0.27679,0.29000,-0.81496,0.29000,0.09810
0.30005,0.30000,2.27763,0.30000,0.15937,0.30000,5.87702,0.30000,-0.30644,0.30000,-0.53113,0.30000,0.07112
0.31005,0.31000,2.31492,0.31000,0.18799,0.31000,4.69892,0.31000,-0.33577,0.31000,-0.25372,0.31000,0.04959
0.32005,0.32000,2.27236,0.32000,0.21513,0.32000,3.60359,0.32000,-0.36174,0.32000,-0.01162,0.32000,0.03610
0.33005,0.33000,2.15739,0.33000,0.23869,0.33000,2.69795,0.33000,-0.38168,0.33000,0.16924,0.33000,0.03226
0.34005,0.34000,1.98513,0.34000,0.25690,0.34000,2.06889,0.34000,-0.39357,0.34000,0.26935,0.34000,0.03857
0.35005,0.35000,1.77615,0.35000,0.26854,0.35000,1.77483,0.35000,-0.39625,0.35000,0.27841,0.35000,0.05432
0.36005,0.36000,1.55397,0.36000,0.27306,0.36000,1.83991,0.36000,-0.38954,0.36000,0.19691,0.36000,0.07771
0.37006,0.37000,1.34228,0.37000,0.27065,0.37000,2.25184,0.37000,-0.37427,0.37000,0.03615,0.37000,0.10605
