Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.21296,0.00000,0.03511
0.01000,0.01000,0.21300,0.01000,0.03606
0.02000,0.02000,0.21306,0.02000,0.03749
0.03000,0.03000,0.21312,0.03000,0.03945
0.04001,0.04000,0.21320,0.04000,0.04193
0.05001,0.05000,0.21327,0.05000,0.04488
0.06001,0.06000,0.21333,0.06000,0.04820
0.07001,0.07000,0.21336,0.07000,0.05177
0.08001,0.08000,0.21337,0.08000,0.05545
0.09001,0.09000,0.21334,0.09000,0.05907
0.10001,0.10000,0.21326,0.10000,0.06245
0.11002,0.11000,0.21315,0.11000,0.06542
0.12002,0.12000,0.21300,0.12000,0.06783
0.13002,0.13000,0.21281,0.13000,0.06956
0.14002,0.14000,0.21258,0.14000,0.07051
0.15002,0.15000,0.21231,0.15000,0.07065
0.16002,0.16000,0.21202,0.16000,0.06997
0.17002,0.17000,0.21175,0.17000,0.06854
0.18002,0.18000,0.21152,0.18000,0.06646
0.19003,0.19000,0.21137,0.19000,0.06387
0.20003,0.20000,0.21134,0.20000,0.06090
0.21003,0.21000,0.21142,0.21000,0.05769
0.22003,0.22000,0.21161,0.22000,0.05436
0.23003,0.23000,0.21184,0.23000,0.05102
0.24003,0.24000,0.21203,0.24000,0.04775
0.25003,0.25000,0.21208,0.25000,0.04460
0.26003,0.26000,0.21188,0.26000,0.04163
0.27004,0.27000,0.21130,0.27000,0.03887
0.28004,0.28000,0.21027,0.28000,0.03634
0.29004,0.29000,0.20871,0.29000,0.03406
0.30004,0.30000,0.20662,0.30000,0.03204
0.31004,0.31000,0.20402,0.31000,0.03031
0.32004,0.32000,0.20096,0.32000,0.02888
0.33004,0.33000,0.19755,0.33000,0.02776
0.34005,0.34000,0.19390,0.34000,0.02698
0.35005,0.35000,0.19017,0.35000,0.02656
0.36005,0.36000,0.18648,0.36000,0.02654
0.37005,0.37000,0.18298,0.37000,0.02696
0.38005,0.38000,0.17977,0.38000,0.02784
0.39005,0.39000,0.17696,0.39000,0.02924
0.40005,0.40000,0.17461,0.40000,0.03115
0.41005,0.41000,0.17274,0.41000,0.03360
0.42006,0.42000,0.17135,0.42000,0.03655
0.43006,0.43000,0.17041,0.43000,0.03996
0.44006,0.44000,0.16985,0.44000,0.04374
0.45006,0.45000,0.16960,0.45000,0.04776
0.46006,0.46000,0.16955,0.46000,0.05188
0.47006,0.47000,0.16960,0.47000,0.05593
0.48006,0.48000,0.16966,0.48000,0.05975
0.49007,0.49000,0.16963,0.49000,0.06321
0.50007,0.50000,0.16942,0.50000,0.06620
0.51007,0.51000,0.16894,0.51000,0.06867
0.52007,0.52000,0.16814,0.52000,0.07062
0.53007,0.53000,0.16695,0.53000,0.07210
0.54007,0.54000,0.16532,0.54000,0.07322
0.55007,0.55000,0.16324,0.55000,0.07409
0.56007,0.56000,0.16070,0.56000,0.07485
0.57008,0.57000,0.15772,0.57000,0.07561
0.58008,0.58000,0.15434,0.58000,0.07644
0.59008,0.59000,0.15065,0.59000,0.07738
0.60008,0.60000,0.14672,0.60000,0.07839
0.61008,0.61000,0.14270,0.61000,0.07941
0.62008,0.62000,0.13870,0.62000,0.08034
0.63008,0.63000,0.13490,0.63000,0.08106
0.64008,0.64000,0.13144,0.64000,0.08148
0.65009,0.65000,0.12847,0.65000,0.08152
0.66009,0.66000,0.12609,0.66000,0.08115
0.67009,0.67000,0.12439,0.67000,0.08040
0.68009,0.68000,0.12341,0.68000,0.07932
0.69009,0.69000,0.12312,0.69000,0.07804
0.70009,0.70000,0.12349,0.70000,0.07666
0.71009,0.71000,0.12445,0.71000,0.07535
0.72010,0.72000,0.12592,0.72000,0.07424
0.73010,0.73000,0.12782,0.73000,0.07345
0.74010,0.74000,0.13008,0.74000,0.07305
0.75010,0.75000,0.13264,0.75000,0.07308
0.76010,0.76000,0.13543,0.76000,0.07353
0.77010,0.77000,0.13841,0.77000,0.07436
0.78010,0.78000,0.14150,0.78000,0.07547
0.79010,0.79000,0.14466,0.79000,0.07678
0.80011,0.80000,0.14781,0.80000,0.07816
0.81011,0.81000,0.15086,0.81000,0.07951
0.82011,0.82000,0.15375,0.82000,0.08073
0.83011,0.83000,0.15640,0.83000,0.08176
0.84011,0.84000,0.15874,0.84000,0.08255
0.85011,0.85000,0.16071,0.85000,0.08306
0.86011,0.86000,0.16224,0.86000,0.08328
0.87012,0.87000,0.16329,0.87000,0.08320
0.88012,0.88000,0.16384,0.88000,0.08281
0.89012,0.89000,0.16390,0.89000,0.08210
0.90012,0.90000,0.16352,0.90000,0.08109
0.91012,0.91000,0.16278,0.91000,0.07980
0.92012,0.92000,0.16180,0.92000,0.07828
0.93012,0.93000,0.16073,0.93000,0.07661
0.94012,0.94000,0.15970,0.94000,0.07487
0.95013,0.95000,0.15882,0.95000,0.07317
0.96013,0.96000,0.15817,0.96000,0.07162
0.97013,0.97000,0.15780,0.97000,0.07030
0.98013,0.98000,0.15768,0.98000,0.06928
0.99013,0.99000,0.15778,0.99000,0.06863
1.00013,1.00000,0.15803,1.00000,0.06835
1.01013,1.01000,0.15835,1.01000,0.06848
1.02013,1.02000,0.15868,1.02000,0.06898
1.03014,1.03000,0.15895,1.03000,0.06984
1.04014,1.04000,0.15915,1.04000,0.07100
1.05014,1.05000,0.15927,1.05000,0.07239
1.06014,1.06000,0.15935,1.06000,0.07391
1.07014,1.07000,0.15944,1.07000,0.07544
1.08014,1.08000,0.15960,1.08000,0.07686
1.09014,1.09000,0.15990,1.09000,0.07805
1.10015,1.10000,0.16040,1.10000,0.07890
1.11015,1.11000,0.16113,1.11000,0.07933
1.12015,1.12000,0.16209,1.12000,0.07932
1.13015,1.13000,0.16323,1.13000,0.07889
1.14015,1.14000,0.16449,1.14000,0.07815
1.15015,1.15000,0.16580,1.15000,0.07722
1.16015,1.16000,0.16706,1.16000,0.07630
1.17015,1.17000,0.16819,1.17000,0.07557
1.18016,1.18000,0.16912,1.18000,0.07522
1.19016,1.19000,0.16981,1.19000,0.07539
1.20016,1.20000,0.17025,1.20000,0.07618
1.21016,1.21000,0.17041,1.21000,0.07760
1.22016,1.22000,0.17032,1.22000,0.07962
1.23016,1.23000,0.16998,1.23000,0.08211
1.24016,1.24000,0.16941,1.24000,0.08491
1.25017,1.25000,0.16861,1.25000,0.08782
1.26017,1.26000,0.16762,1.26000,0.09062
1.27017,1.27000,0.16645,1.27000,0.09310
1.28017,1.28000,0.16513,1.28000,0.09507
1.29017,1.29000,0.16371,1.29000,0.09637
