Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.265672	0.654765	0.656139	0.264921	0.265008	0.654594	0.657328	0.263054	0.264963	0.653515	0.658371	0.263173	0.266548	0.65482	0.655081	0.266519	0.266029	0.653811	0.6569	0.265031	0.26643	0.653904	0.656974	0.264215	0.267532	0.654385	0.654973	0.266868	0.26543	0.656227	0.655454	0.263236	-0.275068	0.650708	0.276886	0.651345	-0.274399	0.651052	0.276313	0.651528	-0.27395	0.65162	0.276357	0.65113	0.651783	0.272129	0.652665	-0.27414	0.649497	0.27739	0.650841	-0.278593	0.650324	0.274213	0.652251	-0.276503	0.268166	0.654667	0.655353	0.264596
0.01	0.265671	0.654714	0.656185	0.264933	0.265021	0.654599	0.657312	0.26307	0.264958	0.65354	0.65835	0.263171	0.266613	0.654825	0.655035	0.266553	0.266015	0.653849	0.656902	0.264947	0.266467	0.65388	0.656974	0.264236	0.267549	0.654379	0.654966	0.26688	0.265497	0.656203	0.655443	0.263257	-0.274964	0.650754	0.276917	0.65133	-0.274271	0.651082	0.276313	0.651551	-0.27389	0.651645	0.276276	0.651164	0.651729	0.272328	0.652585	-0.27426	0.649466	0.277466	0.650808	-0.278666	0.650339	0.274178	0.652221	-0.276575	0.268152	0.654645	0.655378	0.264601
0.02	0.265666	0.654701	0.656205	0.264921	0.265033	0.654622	0.657281	0.263078	0.265046	0.653515	0.658308	0.263247	0.266683	0.654818	0.654997	0.266594	0.266	0.653888	0.6569	0.26487	0.266519	0.653844	0.656977	0.264267	0.267566	0.654377	0.654961	0.266881	0.265523	0.656212	0.655437	0.263223	-0.274878	0.650792	0.276959	0.65131	-0.274174	0.651111	0.276318	0.651561	-0.273838	0.651668	0.276174	0.651206	0.651689	0.272502	0.65251	-0.274362	0.649454	0.277512	0.650784	-0.278706	0.650392	0.274099	0.652164	-0.276663	0.268078	0.65467	0.655408	0.26454
0.03	0.265633	0.654729	0.656208	0.264877	0.265034	0.654644	0.657271	0.263046	0.265145	0.65348	0.658277	0.263312	0.266732	0.654824	0.654959	0.266625	0.266001	0.6539	0.656903	0.264833	0.266553	0.653806	0.656987	0.264302	0.267573	0.654381	0.654954	0.26688	0.265527	0.656267	0.655407	0.263155	-0.2748	0.650824	0.277009	0.65129	-0.274107	0.651122	0.276344	0.651567	-0.273802	0.651679	0.276096	0.651243	0.651679	0.272599	0.652457	-0.274418	0.649471	0.277516	0.650758	-0.278722	0.650467	0.273993	0.652094	-0.276756	0.267986	0.654701	0.65545	0.264453
0.04	0.265579	0.654788	0.656201	0.264804	0.264992	0.654693	0.657265	0.262981	0.265178	0.653452	0.658281	0.26334	0.266765	0.654822	0.654936	0.266653	0.265967	0.653896	0.65694	0.264784	0.266565	0.653778	0.657012	0.264296	0.267589	0.654376	0.654952	0.266883	0.265523	0.65632	0.655374	0.263108	-0.274746	0.650845	0.27706	0.65127	-0.274078	0.651119	0.276393	0.651561	-0.273793	0.651658	0.276074	0.651278	0.651684	0.27264	0.65243	-0.274428	0.649514	0.277454	0.650751	-0.278701	0.650541	0.27387	0.652039	-0.276833	0.267915	0.65473	0.655487	0.26436
0.05	0.265529	0.654844	0.656198	0.264722	0.264919	0.654759	0.657268	0.262883	0.265128	0.653426	0.658334	0.263322	0.266766	0.654821	0.654919	0.266695	0.265924	0.653898	0.656984	0.264715	0.26656	0.653772	0.657032	0.264266	0.267607	0.654369	0.654948	0.266892	0.265478	0.656401	0.655334	0.263052	-0.27471	0.65085	0.277094	0.651267	-0.274097	0.651109	0.276452	0.651538	-0.273797	0.651607	0.276142	0.651298	0.651682	0.272685	0.652417	-0.27442	0.649562	0.277336	0.650774	-0.278652	0.650597	0.273764	0.652007	-0.276882	0.267876	0.654769	0.655506	0.264258
0.06	0.26548	0.654891	0.6562	0.264651	0.264837	0.654801	0.657294	0.262795	0.265066	0.653408	0.65837	0.263337	0.266769	0.654813	0.654905	0.266747	0.265902	0.653894	0.657005	0.264693	0.266536	0.653765	0.657059	0.264241	0.267641	0.654354	0.654942	0.266909	0.265426	0.656468	0.655309	0.262999	-0.274689	0.650856	0.277103	0.651265	-0.274153	0.651085	0.276532	0.651505	-0.273812	0.651533	0.276279	0.651307	0.651685	0.272707	0.652403	-0.274423	0.649596	0.277227	0.650812	-0.278592	0.650619	0.273715	0.651996	-0.276905	0.267879	0.654797	0.655509	0.264179
0.07	0.265433	0.654934	0.6562	0.264591	0.264771	0.654811	0.657348	0.262701	0.265083	0.653357	0.65838	0.263422	0.266776	0.654796	0.654904	0.266785	0.265895	0.653881	0.657023	0.26469	0.266503	0.653783	0.657071	0.2642	0.267667	0.654344	0.654931	0.266934	0.265391	0.65652	0.655285	0.262965	-0.274678	0.650869	0.277095	0.65126	-0.274219	0.651043	0.276638	0.651474	-0.273804	0.651464	0.276465	0.651301	0.65169	0.272726	0.652388	-0.274428	0.649599	0.277191	0.650844	-0.278548	0.65061	0.273756	0.651987	-0.276905	0.267931	0.654801	0.6555	0.264138
0.08	0.265389	0.654975	0.656199	0.264535	0.264722	0.65478	0.657426	0.262634	0.265158	0.653288	0.658386	0.263502	0.2668	0.654776	0.654904	0.266807	0.265878	0.653879	0.657044	0.264658	0.266482	0.653814	0.657064	0.264161	0.267677	0.654339	0.65492	0.266964	0.265356	0.656541	0.655282	0.262955	-0.274668	0.650881	0.277085	0.651257	-0.274257	0.650991	0.276755	0.65146	-0.273783	0.651396	0.276677	0.651289	0.651701	0.272724	0.652376	-0.274431	0.649578	0.277206	0.650869	-0.278522	0.650589	0.273854	0.651984	-0.276867	0.267999	0.654789	0.655492	0.264119
0.09	0.265345	0.655	0.656213	0.264484	0.264694	0.654725	0.657509	0.26259	0.265211	0.653258	0.658385	0.263528	0.266845	0.654743	0.654917	0.266814	0.265841	0.653904	0.657051	0.264616	0.266457	0.653846	0.657049	0.264145	0.267705	0.654323	0.654915	0.266986	0.265313	0.65653	0.655308	0.262962	-0.274673	0.650885	0.277075	0.651255	-0.274257	0.650945	0.276874	0.651455	-0.273779	0.651335	0.276887	0.651261	0.651703	0.272718	0.652378	-0.274428	0.649535	0.27729	0.650881	-0.278513	0.650552	0.273982	0.651992	-0.276808	0.268056	0.654785	0.65547	0.264124
