Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.23898,0.00000,-0.20416
0.01000,0.01000,-0.23735,0.01000,-0.20244
0.02000,0.02000,-0.23562,0.02000,-0.20062
0.03000,0.03000,-0.23386,0.03000,-0.19880
0.04001,0.04000,-0.23215,0.04000,-0.19710
0.05001,0.05000,-0.23057,0.05000,-0.19562
0.06001,0.06000,-0.22920,0.06000,-0.19447
0.07001,0.07000,-0.22810,0.07000,-0.19375
0.08001,0.08000,-0.22733,0.08000,-0.19353
0.09001,0.09000,-0.22692,0.09000,-0.19387
0.10002,0.10000,-0.22691,0.10000,-0.19479
0.11002,0.11000,-0.22732,0.11000,-0.19629
0.12002,0.12000,-0.22816,0.12000,-0.19835
0.13002,0.13000,-0.22943,0.13000,-0.20093
0.14002,0.14000,-0.23115,0.14000,-0.20396
0.15002,0.15000,-0.23331,0.15000,-0.20739
0.16002,0.16000,-0.23592,0.16000,-0.21113
0.17003,0.17000,-0.23895,0.17000,-0.21507
0.18003,0.18000,-0.24236,0.18000,-0.21913
0.19003,0.19000,-0.24608,0.19000,-0.22318
0.20003,0.20000,-0.25004,0.20000,-0.22711
0.21003,0.21000,-0.25411,0.21000,-0.23078
0.22003,0.22000,-0.25818,0.22000,-0.23406
0.23003,0.23000,-0.26212,0.23000,-0.23686
0.24004,0.24000,-0.26583,0.24000,-0.23905
0.25004,0.25000,-0.26920,0.25000,-0.24058
0.26004,0.26000,-0.27217,0.26000,-0.24140
0.27004,0.27000,-0.27471,0.27000,-0.24152
0.28004,0.28000,-0.27682,0.28000,-0.24094
0.29004,0.29000,-0.27854,0.29000,-0.23976
0.30004,0.30000,-0.27992,0.30000,-0.23804
0.31005,0.31000,-0.28104,0.31000,-0.23592
0.32005,0.32000,-0.28199,0.32000,-0.23352
0.33005,0.33000,-0.28284,0.33000,-0.23099
0.34005,0.34000,-0.28367,0.34000,-0.22846
0.35005,0.35000,-0.28449,0.35000,-0.22606
0.36005,0.36000,-0.28531,0.36000,-0.22389
0.37005,0.37000,-0.28609,0.37000,-0.22202
0.38006,0.38000,-0.28676,0.38000,-0.22049
0.39006,0.39000,-0.28721,0.39000,-0.21928
0.40006,0.40000,-0.28733,0.40000,-0.21831
0.41006,0.41000,-0.28699,0.41000,-0.21751
0.42006,0.42000,-0.28608,0.42000,-0.21673
0.43006,0.43000,-0.28451,0.43000,-0.21585
0.44006,0.44000,-0.28222,0.44000,-0.21474
0.45007,0.45000,-0.27920,0.45000,-0.21333
0.46007,0.46000,-0.27544,0.46000,-0.21153
0.47007,0.47000,-0.27102,0.47000,-0.20935
0.48007,0.48000,-0.26602,0.48000,-0.20679
0.49007,0.49000,-0.26060,0.49000,-0.20393
0.50007,0.50000,-0.25492,0.50000,-0.20083
0.51007,0.51000,-0.24919,0.51000,-0.19759
0.52008,0.52000,-0.24364,0.52000,-0.19434
0.53008,0.53000,-0.23849,0.53000,-0.19120
0.54008,0.54000,-0.23394,0.54000,-0.18826
0.55008,0.55000,-0.23018,0.55000,-0.18561
0.56008,0.56000,-0.22731,0.56000,-0.18332
0.57008,0.57000,-0.22540,0.57000,-0.18138
0.58008,0.58000,-0.22447,0.58000,-0.17980
0.59009,0.59000,-0.22444,0.59000,-0.17853
0.60009,0.60000,-0.22523,0.60000,-0.17752
0.61009,0.61000,-0.22671,0.61000,-0.17673
0.62009,0.62000,-0.22875,0.62000,-0.17612
0.63009,0.63000,-0.23119,0.63000,-0.17567
0.64009,0.64000,-0.23390,0.64000,-0.17536
0.65009,0.65000,-0.23673,0.65000,-0.17518
0.66010,0.66000,-0.23955,0.66000,-0.17511
0.67010,0.67000,-0.24223,0.67000,-0.17515
0.68010,0.68000,-0.24466,0.68000,-0.17528
0.69010,0.69000,-0.24673,0.69000,-0.17549
0.70010,0.70000,-0.24835,0.70000,-0.17578
0.71010,0.71000,-0.24944,0.71000,-0.17614
0.72010,0.72000,-0.24995,0.72000,-0.17656
0.73011,0.73000,-0.24985,0.73000,-0.17702
0.74011,0.74000,-0.24913,0.74000,-0.17748
0.75011,0.75000,-0.24779,0.75000,-0.17790
0.76011,0.76000,-0.24589,0.76000,-0.17821
0.77011,0.77000,-0.24351,0.77000,-0.17835
0.78011,0.78000,-0.24077,0.78000,-0.17826
0.79012,0.79000,-0.23781,0.79000,-0.17787
0.80012,0.80000,-0.23480,0.80000,-0.17714
0.81012,0.81000,-0.23193,0.81000,-0.17605
0.82012,0.82000,-0.22936,0.82000,-0.17459
0.83012,0.83000,-0.22725,0.83000,-0.17280
0.84012,0.84000,-0.22570,0.84000,-0.17071
0.85012,0.85000,-0.22479,0.85000,-0.16838
0.86013,0.86000,-0.22454,0.86000,-0.16591
0.87013,0.87000,-0.22492,0.87000,-0.16338
0.88013,0.88000,-0.22586,0.88000,-0.16089
0.89013,0.89000,-0.22725,0.89000,-0.15852
0.90013,0.90000,-0.22896,0.90000,-0.15637
0.91013,0.91000,-0.23085,0.91000,-0.15451
0.92013,0.92000,-0.23277,0.92000,-0.15299
0.93014,0.93000,-0.23458,0.93000,-0.15186
0.94014,0.94000,-0.23618,0.94000,-0.15114
0.95014,0.95000,-0.23746,0.95000,-0.15085
0.96014,0.96000,-0.23836,0.96000,-0.15096
0.97014,0.97000,-0.23886,0.97000,-0.15144
0.98014,0.98000,-0.23892,0.98000,-0.15226
