Tiempo;Evento
3;Posición inicial
8.11;< Contacto inicial derecho
8.18;> Despegue izquierdo
8.67;< Contacto inicial izquierdo
8.75;> Despegue derecho
9.24;< Contacto inicial derecho
9.31;> Despegue izquierdo
9.79;< Contacto inicial izquierdo
9.87;> Despegue derecho
10.36;< Contacto inicial derecho
10.42;> Despegue izquierdo
10.91;< Contacto inicial izquierdo
10.98;> Despegue derecho
11.47;< Contacto inicial derecho
11.54;> Despegue izquierdo
12.02;< Contacto inicial izquierdo
12.1;> Despegue derecho
12.58;< Contacto inicial derecho
12.65;> Despegue izquierdo
13.14;< Contacto inicial izquierdo
13.22;> Despegue derecho
13.71;< Contacto inicial derecho
13.78;> Despegue izquierdo
14.26;< Contacto inicial izquierdo
14.34;> Despegue derecho
14.83;< Contacto inicial derecho
14.9;> Despegue izquierdo
15.39;< Contacto inicial izquierdo
15.47;> Despegue derecho
15.96;< Contacto inicial derecho
16.03;> Despegue izquierdo
16.51;< Contacto inicial izquierdo
16.59;> Despegue derecho
17.08;< Contacto inicial derecho
17.16;> Despegue izquierdo
17.66;< Contacto inicial izquierdo
17.75;> Despegue derecho
18.42;< Contacto inicial derecho
18.58;> Despegue izquierdo
19.37;< Contacto inicial izquierdo
19.45;> Despegue derecho
19.99;< Contacto inicial derecho
20.06;> Despegue izquierdo
20.56;< Contacto inicial izquierdo
20.64;> Despegue derecho
21.12;< Contacto inicial derecho
21.18;> Despegue izquierdo
21.67;< Contacto inicial izquierdo
21.75;> Despegue derecho
22.21;< Contacto inicial derecho
22.28;> Despegue izquierdo
22.76;< Contacto inicial izquierdo
22.84;> Despegue derecho
23.32;< Contacto inicial derecho
23.39;> Despegue izquierdo
23.87;< Contacto inicial izquierdo
23.95;> Despegue derecho
24.42;< Contacto inicial derecho
24.49;> Despegue izquierdo
24.99;< Contacto inicial izquierdo
25.07;> Despegue derecho
25.54;< Contacto inicial derecho
25.61;> Despegue izquierdo
26.1;< Contacto inicial izquierdo
26.18;> Despegue derecho
26.67;< Contacto inicial derecho
26.74;> Despegue izquierdo
27.24;< Contacto inicial izquierdo
27.32;> Despegue derecho
27.81;< Contacto inicial derecho
27.88;> Despegue izquierdo
28.4;< Contacto inicial izquierdo
28.48;> Despegue derecho
29.06;< Contacto inicial derecho
29.24;> Despegue izquierdo
30.21;< Contacto inicial izquierdo
30.27;> Despegue derecho
30.84;< Contacto inicial derecho
30.91;> Despegue izquierdo
