Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,0.31811,0.00000,0.05718,0.00000,0.31012,0.00000,0.32280
0.01000,0.01000,0.32341,0.01000,0.05745,0.01000,0.30518,0.01000,0.32809
0.02000,0.02000,0.32952,0.02000,0.05743,0.02000,0.29959,0.02000,0.33413
0.03000,0.03000,0.33627,0.03000,0.05703,0.03000,0.29354,0.03000,0.34077
0.04001,0.04000,0.34348,0.04000,0.05618,0.04000,0.28724,0.04000,0.34781
0.05001,0.05000,0.35095,0.05000,0.05484,0.05000,0.28093,0.05000,0.35506
0.06001,0.06000,0.35847,0.06000,0.05300,0.06000,0.27487,0.06000,0.36229
0.07001,0.07000,0.36585,0.07000,0.05069,0.07000,0.26930,0.07000,0.36934
0.08001,0.08000,0.37293,0.08000,0.04798,0.08000,0.26445,0.08000,0.37606
0.09001,0.09000,0.37962,0.09000,0.04500,0.09000,0.26052,0.09000,0.38236
0.10001,0.10000,0.38584,0.10000,0.04186,0.10000,0.25764,0.10000,0.38820
0.11002,0.11000,0.39158,0.11000,0.03871,0.11000,0.25590,0.11000,0.39356
0.12002,0.12000,0.39686,0.12000,0.03568,0.12000,0.25533,0.12000,0.39850
0.13002,0.13000,0.40175,0.13000,0.03285,0.13000,0.25586,0.13000,0.40308
0.14002,0.14000,0.40632,0.14000,0.03031,0.14000,0.25731,0.14000,0.40738
0.15002,0.15000,0.41065,0.15000,0.02808,0.15000,0.25945,0.15000,0.41149
0.16002,0.16000,0.41481,0.16000,0.02616,0.16000,0.26194,0.16000,0.41546
0.17002,0.17000,0.41882,0.17000,0.02452,0.17000,0.26444,0.17000,0.41934
0.18003,0.18000,0.42271,0.18000,0.02311,0.18000,0.26661,0.18000,0.42313
0.19003,0.19000,0.42645,0.19000,0.02187,0.19000,0.26816,0.19000,0.42679
0.20003,0.20000,0.42997,0.20000,0.02074,0.20000,0.26891,0.20000,0.43027
0.21003,0.21000,0.43321,0.21000,0.01966,0.21000,0.26878,0.21000,0.43347
0.22003,0.22000,0.43609,0.22000,0.01858,0.22000,0.26782,0.22000,0.43633
0.23003,0.23000,0.43856,0.23000,0.01744,0.23000,0.26617,0.23000,0.43877
0.24003,0.24000,0.44058,0.24000,0.01622,0.24000,0.26404,0.24000,0.44077
0.25003,0.25000,0.44219,0.25000,0.01491,0.25000,0.26166,0.25000,0.44236
0.26004,0.26000,0.44346,0.26000,0.01348,0.26000,0.25927,0.26000,0.44362
0.27004,0.27000,0.44453,0.27000,0.01195,0.27000,0.25708,0.27000,0.44466
0.28004,0.28000,0.44555,0.28000,0.01032,0.28000,0.25524,0.28000,0.44566
0.29004,0.29000,0.44672,0.29000,0.00863,0.29000,0.25383,0.29000,0.44681
0.30004,0.30000,0.44821,0.30000,0.00688,0.30000,0.25286,0.30000,0.44828
0.31004,0.31000,0.45019,0.31000,0.00510,0.31000,0.25227,0.31000,0.45024
0.32004,0.32000,0.45277,0.32000,0.00333,0.32000,0.25193,0.32000,0.45281
0.33005,0.33000,0.45600,0.33000,0.00158,0.33000,0.25164,0.33000,0.45604
0.34005,0.34000,0.45988,0.34000,-0.00011,0.34000,0.25118,0.34000,0.45991
0.35005,0.35000,0.46433,0.35000,-0.00173,0.35000,0.25033,0.35000,0.46437
0.36005,0.36000,0.46926,0.36000,-0.00326,0.36000,0.24885,0.36000,0.46929
0.37005,0.37000,0.47452,0.37000,-0.00468,0.37000,0.24653,0.37000,0.47456
0.38005,0.38000,0.47999,0.38000,-0.00597,0.38000,0.24323,0.38000,0.48004
0.39005,0.39000,0.48555,0.39000,-0.00711,0.39000,0.23879,0.39000,0.48561
0.40006,0.40000,0.49111,0.40000,-0.00806,0.40000,0.23315,0.40000,0.49119
0.41006,0.41000,0.49660,0.41000,-0.00881,0.41000,0.22624,0.41000,0.49670
0.42006,0.42000,0.50198,0.42000,-0.00930,0.42000,0.21808,0.42000,0.50208
0.43006,0.43000,0.50718,0.43000,-0.00950,0.43000,0.20874,0.43000,0.50729
0.44006,0.44000,0.51212,0.44000,-0.00937,0.44000,0.19837,0.44000,0.51224
0.45006,0.45000,0.51672,0.45000,-0.00890,0.45000,0.18720,0.45000,0.51683
0.46006,0.46000,0.52083,0.46000,-0.00808,0.46000,0.17557,0.46000,0.52094
0.47007,0.47000,0.52432,0.47000,-0.00694,0.47000,0.16388,0.47000,0.52442
0.48007,0.48000,0.52701,0.48000,-0.00552,0.48000,0.15263,0.48000,0.52710
0.49007,0.49000,0.52875,0.49000,-0.00389,0.49000,0.14234,0.49000,0.52883
0.50007,0.50000,0.52941,0.50000,-0.00213,0.50000,0.13350,0.50000,0.52947
0.51007,0.51000,0.52890,0.51000,-0.00031,0.51000,0.12656,0.51000,0.52896
0.52007,0.52000,0.52721,0.52000,0.00149,0.52000,0.12180,0.52000,0.52726
0.53007,0.53000,0.52437,0.53000,0.00317,0.53000,0.11939,0.53000,0.52441
0.54007,0.54000,0.52050,0.54000,0.00470,0.54000,0.11929,0.54000,0.52054
0.55008,0.55000,0.51578,0.55000,0.00600,0.55000,0.12130,0.55000,0.51582
0.56008,0.56000,0.51041,0.56000,0.00706,0.56000,0.12505,0.56000,0.51046
0.57008,0.57000,0.50465,0.57000,0.00785,0.57000,0.13010,0.57000,0.50470
0.58008,0.58000,0.49872,0.58000,0.00838,0.58000,0.13595,0.58000,0.49877
0.59008,0.59000,0.49282,0.59000,0.00865,0.59000,0.14211,0.59000,0.49288
0.60008,0.60000,0.48712,0.60000,0.00870,0.60000,0.14814,0.60000,0.48718
0.61008,0.61000,0.48173,0.61000,0.00857,0.61000,0.15371,0.61000,0.48179
0.62009,0.62000,0.47671,0.62000,0.00831,0.62000,0.15861,0.62000,0.47677
0.63009,0.63000,0.47206,0.63000,0.00798,0.63000,0.16275,0.63000,0.47211
0.64009,0.64000,0.46770,0.64000,0.00761,0.64000,0.16618,0.64000,0.46775
0.65009,0.65000,0.46351,0.65000,0.00725,0.65000,0.16905,0.65000,0.46354
0.66009,0.66000,0.45929,0.66000,0.00694,0.66000,0.17161,0.66000,0.45931
0.67009,0.67000,0.45480,0.67000,0.00670,0.67000,0.17415,0.67000,0.45479
0.68009,0.68000,0.44973,0.68000,0.00658,0.68000,0.17703,0.68000,0.44971
0.69010,0.69000,0.44380,0.69000,0.00661,0.69000,0.18059,0.69000,0.44376
0.70010,0.70000,0.43669,0.70000,0.00684,0.70000,0.18514,0.70000,0.43666
0.71010,0.71000,0.42818,0.71000,0.00733,0.71000,0.19091,0.71000,0.42814
0.72010,0.72000,0.41807,0.72000,0.00811,0.72000,0.19807,0.72000,0.41806
0.73010,0.73000,0.40629,0.73000,0.00921,0.73000,0.20666,0.73000,0.40632
0.74010,0.74000,0.39287,0.74000,0.01064,0.74000,0.21661,0.74000,0.39297
0.75010,0.75000,0.37796,0.75000,0.01238,0.75000,0.22778,0.75000,0.37816
0.76011,0.76000,0.36181,0.76000,0.01439,0.76000,0.23992,0.76000,0.36213
0.77011,0.77000,0.34478,0.77000,0.01663,0.77000,0.25276,0.77000,0.34526
0.78011,0.78000,0.32729,0.78000,0.01903,0.78000,0.26595,0.78000,0.32796
0.79011,0.79000,0.30982,0.79000,0.02152,0.79000,0.27915,0.79000,0.31071
0.80011,0.80000,0.29286,0.80000,0.02404,0.80000,0.29201,0.80000,0.29400
0.81011,0.81000,0.27686,0.81000,0.02652,0.81000,0.30418,0.81000,0.27827
0.82011,0.82000,0.26222,0.82000,0.02890,0.82000,0.31530,0.82000,0.26390
0.83011,0.83000,0.24925,0.83000,0.03109,0.83000,0.32508,0.83000,0.25120
0.84012,0.84000,0.23812,0.84000,0.03303,0.84000,0.33324,0.84000,0.24034
0.85012,0.85000,0.22890,0.85000,0.03464,0.85000,0.33959,0.85000,0.23135
0.86012,0.86000,0.22151,0.86000,0.03588,0.86000,0.34398,0.86000,0.22416
0.87012,0.87000,0.21576,0.87000,0.03669,0.87000,0.34633,0.87000,0.21856
0.88012,0.88000,0.21137,0.88000,0.03706,0.88000,0.34665,0.88000,0.21427
0.89012,0.89000,0.20802,0.89000,0.03700,0.89000,0.34498,0.89000,0.21097
0.90012,0.90000,0.20538,0.90000,0.03653,0.90000,0.34147,0.90000,0.20831
0.91013,0.91000,0.20313,0.91000,0.03571,0.91000,0.33634,0.91000,0.20601
0.92013,0.92000,0.20103,0.92000,0.03461,0.92000,0.32990,0.92000,0.20381
0.93013,0.93000,0.19891,0.93000,0.03331,0.93000,0.32256,0.93000,0.20156
0.94013,0.94000,0.19668,0.94000,0.03190,0.94000,0.31474,0.94000,0.19918
0.95013,0.95000,0.19433,0.95000,0.03045,0.95000,0.30686,0.95000,0.19667
0.96013,0.96000,0.19194,0.96000,0.02904,0.96000,0.29929,0.96000,0.19411
0.97013,0.97000,0.18964,0.97000,0.02770,0.97000,0.29229,0.97000,0.19162
0.98014,0.98000,0.18757,0.98000,0.02646,0.98000,0.28600,0.98000,0.18937
0.99014,0.99000,0.18588,0.99000,0.02535,0.99000,0.28043,0.99000,0.18748
1.00014,1.00000,0.18466,1.00000,0.02438,1.00000,0.27550,1.00000,0.18607
1.01014,1.01000,0.18393,1.01000,0.02355,1.01000,0.27105,1.01000,0.18515
1.02014,1.02000,0.18365,1.02000,0.02290,1.02000,0.26689,1.02000,0.18470
1.03014,1.03000,0.18367,1.03000,0.02245,1.03000,0.26284,1.03000,0.18457
1.04014,1.04000,0.18379,1.04000,0.02223,1.04000,0.25876,1.04000,0.18458
1.05014,1.05000,0.18375,1.05000,0.02231,1.05000,0.25454,1.05000,0.18450
1.06015,1.06000,0.18328,1.06000,0.02271,1.06000,0.25018,1.06000,0.18410
1.07015,1.07000,0.18215,1.07000,0.02349,1.07000,0.24570,1.07000,0.18316
1.08015,1.08000,0.18019,1.08000,0.02468,1.08000,0.24119,1.08000,0.18154
1.09015,1.09000,0.17730,1.09000,0.02629,1.09000,0.23678,1.09000,0.17915
1.10015,1.10000,0.17346,1.10000,0.02832,1.10000,0.23258,1.10000,0.17600
1.11015,1.11000,0.16873,1.11000,0.03073,1.11000,0.22872,1.11000,0.17216
1.12015,1.12000,0.16326,1.12000,0.03347,1.12000,0.22528,1.12000,0.16776
1.13016,1.13000,0.15723,1.13000,0.03649,1.13000,0.22231,1.13000,0.16296
1.14016,1.14000,0.15088,1.14000,0.03972,1.14000,0.21985,1.14000,0.15796
1.15016,1.15000,0.14446,1.15000,0.04309,1.15000,0.21788,1.15000,0.15296
1.16016,1.16000,0.13819,1.16000,0.04655,1.16000,0.21635,1.16000,0.14815
1.17016,1.17000,0.13231,1.17000,0.05003,1.17000,0.21521,1.17000,0.14367
1.18016,1.18000,0.12698,1.18000,0.05349,1.18000,0.21435,1.18000,0.13962
1.19016,1.19000,0.12232,1.19000,0.05688,1.19000,0.21362,1.19000,0.13608
1.20017,1.20000,0.11840,1.20000,0.06017,1.20000,0.21286,1.20000,0.13306
1.21017,1.21000,0.11520,1.21000,0.06334,1.21000,0.21186,1.21000,0.13052
1.22017,1.22000,0.11262,1.22000,0.06638,1.22000,0.21038,1.22000,0.12838
1.23017,1.23000,0.11049,1.23000,0.06925,1.23000,0.20821,1.23000,0.12653
1.24017,1.24000,0.10856,1.24000,0.07196,1.24000,0.20518,1.24000,0.12485
1.25017,1.25000,0.10648,1.25000,0.07448,1.25000,0.20118,1.25000,0.12317
1.26017,1.26000,0.10388,1.26000,0.07678,1.26000,0.19619,1.26000,0.12136
1.27018,1.27000,0.10034,1.27000,0.07884,1.27000,0.19028,1.27000,0.11931
1.28018,1.28000,0.09545,1.28000,0.08063,1.28000,0.18362,1.28000,0.11697
1.29018,1.29000,0.08884,1.29000,0.08209,1.29000,0.17646,1.29000,0.11433
1.30018,1.30000,0.08022,1.30000,0.08321,1.30000,0.16908,1.30000,0.11149
1.31018,1.31000,0.06943,1.31000,0.08393,1.31000,0.16180,1.31000,0.10862
1.32018,1.32000,0.05644,1.32000,0.08424,1.32000,0.15492,1.32000,0.10598
1.33018,1.33000,0.04135,1.33000,0.08413,1.33000,0.14873,1.33000,0.10388
1.34018,1.34000,0.02443,1.34000,0.08360,1.34000,0.14342,1.34000,0.10263
1.35019,1.35000,0.00605,1.35000,0.08269,1.35000,0.13915,1.35000,0.10253
1.36019,1.36000,-0.01333,1.36000,0.08147,1.36000,0.13597,1.36000,0.10384
