Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.37861,0.00000,4.87584,0.00000,2.85264,0.00000,4.90946
0.01001,0.01000,-0.39209,0.01000,4.87521,0.01000,2.85438,0.01000,4.91068
0.02002,0.02000,-0.40784,0.02000,4.87382,0.02000,2.85528,0.02000,4.91147
0.03003,0.03000,-0.42556,0.03000,4.87162,0.03000,2.85510,0.03000,4.91176
0.04004,0.04000,-0.44487,0.04000,4.86862,0.04000,2.85373,0.04000,4.91150
0.05005,0.05000,-0.46527,0.05000,4.86493,0.05000,2.85113,0.05000,4.91073
0.06005,0.06000,-0.48628,0.06000,4.86072,0.06000,2.84738,0.06000,4.90957
0.07006,0.07000,-0.50740,0.07000,4.85623,0.07000,2.84268,0.07000,4.90819
0.08007,0.08000,-0.52820,0.08000,4.85173,0.08000,2.83732,0.08000,4.90681
0.09008,0.09000,-0.54836,0.09000,4.84749,0.09000,2.83163,0.09000,4.90565
0.10009,0.10000,-0.56767,0.10000,4.84377,0.10000,2.82597,0.10000,4.90493
0.11010,0.11000,-0.58607,0.11000,4.84076,0.11000,2.82068,0.11000,4.90485
0.12011,0.12000,-0.60361,0.12000,4.83858,0.12000,2.81607,0.12000,4.90555
0.13012,0.13000,-0.62042,0.13000,4.83733,0.13000,2.81238,0.13000,4.90713
0.14013,0.14000,-0.63670,0.14000,4.83700,0.14000,2.80975,0.14000,4.90963
0.15013,0.15000,-0.65265,0.15000,4.83757,0.15000,2.80824,0.15000,4.91305
0.16014,0.16000,-0.66848,0.16000,4.83897,0.16000,2.80781,0.16000,4.91737
0.17015,0.17000,-0.68436,0.17000,4.84112,0.17000,2.80835,0.17000,4.92252
0.18016,0.18000,-0.70044,0.18000,4.84392,0.18000,2.80966,0.18000,4.92842
0.19017,0.19000,-0.71680,0.19000,4.84728,0.19000,2.81153,0.19000,4.93499
0.20018,0.20000,-0.73348,0.20000,4.85111,0.20000,2.81372,0.20000,4.94215
0.21019,0.21000,-0.75048,0.21000,4.85534,0.21000,2.81604,0.21000,4.94981
0.22020,0.22000,-0.76772,0.22000,4.85990,0.22000,2.81835,0.22000,4.95788
0.23021,0.23000,-0.78508,0.23000,4.86474,0.23000,2.82054,0.23000,4.96630
0.24021,0.24000,-0.80240,0.24000,4.86982,0.24000,2.82262,0.24000,4.97499
0.25022,0.25000,-0.81951,0.25000,4.87513,0.25000,2.82463,0.25000,4.98389
0.26023,0.26000,-0.83621,0.26000,4.88065,0.26000,2.82668,0.26000,4.99294
0.27024,0.27000,-0.85233,0.27000,4.88636,0.27000,2.82895,0.27000,5.00211
0.28025,0.28000,-0.86771,0.28000,4.89228,0.28000,2.83163,0.28000,5.01136
0.29026,0.29000,-0.88225,0.29000,4.89839,0.29000,2.83495,0.29000,5.02065
0.30027,0.30000,-0.89585,0.30000,4.90467,0.30000,2.83915,0.30000,5.02994
0.31028,0.31000,-0.90846,0.31000,4.91109,0.31000,2.84443,0.31000,5.03920
0.32029,0.32000,-0.92009,0.32000,4.91758,0.32000,2.85093,0.32000,5.04835
0.33030,0.33000,-0.93076,0.33000,4.92405,0.33000,2.85871,0.33000,5.05731
0.34030,0.34000,-0.94053,0.34000,4.93040,0.34000,2.86774,0.34000,5.06598
0.35031,0.35000,-0.94947,0.35000,4.93651,0.35000,2.87790,0.35000,5.07426
0.36032,0.36000,-0.95767,0.36000,4.94226,0.36000,2.88897,0.36000,5.08204
0.37033,0.37000,-0.96526,0.37000,4.94751,0.37000,2.90067,0.37000,5.08921
0.38034,0.38000,-0.97234,0.38000,4.95216,0.38000,2.91268,0.38000,5.09567
0.39035,0.39000,-0.97904,0.39000,4.95609,0.39000,2.92467,0.39000,5.10136
0.40036,0.40000,-0.98547,0.40000,4.95923,0.40000,2.93633,0.40000,5.10620
0.41037,0.41000,-0.99178,0.41000,4.96151,0.41000,2.94738,0.41000,5.11016
0.42038,0.42000,-0.99810,0.42000,4.96288,0.42000,2.95760,0.42000,5.11322
0.43038,0.43000,-1.00460,0.43000,4.96330,0.43000,2.96678,0.43000,5.11539
0.44039,0.44000,-1.01144,0.44000,4.96275,0.44000,2.97476,0.44000,5.11668
0.45040,0.45000,-1.01878,0.45000,4.96123,0.45000,2.98141,0.45000,5.11715
0.46041,0.46000,-1.02682,0.46000,4.95875,0.46000,2.98662,0.46000,5.11685
0.47042,0.47000,-1.03571,0.47000,4.95535,0.47000,2.99034,0.47000,5.11585
0.48043,0.48000,-1.04558,0.48000,4.95106,0.48000,2.99255,0.48000,5.11425
0.49044,0.49000,-1.05651,0.49000,4.94597,0.49000,2.99328,0.49000,5.11213
0.50045,0.50000,-1.06851,0.50000,4.94016,0.50000,2.99262,0.50000,5.10960
0.51046,0.51000,-1.08154,0.51000,4.93373,0.51000,2.99069,0.51000,5.10674
0.52046,0.52000,-1.09545,0.52000,4.92678,0.52000,2.98763,0.52000,5.10362
0.53047,0.53000,-1.11007,0.53000,4.91943,0.53000,2.98359,0.53000,5.10032
0.54048,0.54000,-1.12515,0.54000,4.91176,0.54000,2.97868,0.54000,5.09686
0.55049,0.55000,-1.14044,0.55000,4.90388,0.55000,2.97295,0.55000,5.09326
0.56050,0.56000,-1.15566,0.56000,4.89584,0.56000,2.96642,0.56000,5.08951
0.57051,0.57000,-1.17054,0.57000,4.88769,0.57000,2.95905,0.57000,5.08557
